N_unmapped	4438_S1_L002_ReadsPerGene.out.tab	4460_S2_L002_ReadsPerGene.out.tab	4474_S3_L002_ReadsPerGene.out.tab	4501_S4_L002_ReadsPerGene.out.tab	4510_S5_L002_ReadsPerGene.out.tab	4520_S6_L002_ReadsPerGene.out.tab	DC1MINUS_S7_L002_ReadsPerGene.out.tab	DC2MINUES_S9_L002_ReadsPerGene.out.tab	DC2PLUS_S10_L002_ReadsPerGene.out.tab	DC2Pool_NoIndex_L001_ReadsPerGene.out.tab	DC3Pool_NoIndex_L001_ReadsPerGene.out.tab	DC4MINUS_S11_L002_ReadsPerGene.out.tab	DC4PLUS_S12_L002_ReadsPerGene.out.tab	Mischief_Minus_S12_L002_ReadsPerGene.out.tab	Mischief_Plus_S11_L002_ReadsPerGene.out.tab	X2654MINUS_S13_L002_ReadsPerGene.out.tab	X2654PLUS_S14_L002_ReadsPerGene.out.tab
N_multimapping	6560160	9299923	7751712	3292998	4086848	9363065	7124667	8169720	7824248	4655809	2048298	6156147	5666863	17030025	20349218	5494422	6746314
N_noFeature	16458587	23462108	21517271	8043153	10306278	26388059	17132449	17987266	15997079	348548	325053	11076379	12832093	2413049	2635706	12577049	13799966
N_ambiguous	10861134	6950002	9083398	8559863	8177580	6604057	3915252	3652859	3015871	14248622	15313515	3650520	4318615	27525077	33421459	2435733	3205059
LOC102899061	1160475	1565797	1381641	510944	692842	1783540	1296397	1401702	1233253	7336	7251	896154	1084925	79940	58799	990548	1207831
LOC101090826	6	2	3	7	17	3	0	0	1	12	10	0	1	46	46	1	1
TRNAE-UUC	3	0	0	2	18	0	1	1	1	67	107	0	0	81	102	0	0
CCDC115	3	5	3	0	0	2	0	0	1	0	0	0	0	7	5	1	2
IMP4	1676	1807	1548	724	287	1230	1048	1490	1210	0	4	1278	1727	116	116	1006	1213
PTPN18	408	361	375	161	63	248	403	543	506	0	2	624	720	74	80	356	419
LOC111559468	284	254	301	179	76	199	148	372	359	6	7	156	198	114	126	94	159
LOC102899369	11	4	3	12	12	4	5	1	4	2	0	7	1	129	138	0	1
LOC109493243	48	29	27	31	40	13	19	9	7	12	7	12	14	444	468	1	5
ATP12A	0	2	0	1	4	1	2	0	0	0	1	0	0	22	22	1	0
RNF17	6	2	1	4	27	5	20	19	10	21	71	1	2	249	253	5	3
CENPJ	1	6	6	4	21	4	3	2	2	77	146	7	4	128	156	6	5
PARP4	263	292	271	176	73	171	451	539	449	127	137	568	756	275	242	369	423
MPHOSPH8	1490	1444	1488	649	369	874	2979	2101	1603	165	101	5016	6106	270	286	2137	2598
PSPC1	1392	1233	1099	708	301	706	720	716	586	27	15	804	1129	279	251	512	657
ZMYM5	1959	1694	1878	1215	399	1265	1015	1037	767	50	43	1149	1468	340	255	745	882
LOC111559482	835	740	815	417	173	503	487	405	325	135	124	439	616	96	115	357	492
ZMYM2	27	9	21	14	5	14	10	11	8	0	0	11	13	9	13	2	5
LOC111558556	3453	3112	3230	2028	855	2303	3066	3172	2552	150	114	3524	4645	165	154	2091	2515
GJA3	20	8	6	13	14	7	9	6	5	24	13	14	11	41	59	4	10
GJB2	17	19	26	23	7	19	3	4	1	0	1	4	4	62	50	1	1
GJB6	0	2	3	0	6	1	2	11	5	0	7	10	31	63	67	6	14
LOC111556713	3	3	1	1	5	1	0	0	0	64	42	0	0	34	57	0	0
CRYL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC109493944	2425	2884	2994	1966	842	3440	1894	2892	2549	1	4	1556	1850	47	47	1590	1887
IFT88	15	13	16	10	9	9	17	38	22	0	54	24	32	10	14	12	13
IL17D	567	600	612	466	153	417	1205	1086	842	129	167	1444	1899	113	125	480	605
LOC111558748	12	7	7	10	8	9	13	26	23	0	0	34	50	14	8	14	20
LOC109494068	47	24	40	31	23	23	18	8	18	2	1	17	28	24	32	5	16
EEF1AKMT1	11	6	10	21	10	5	6	5	4	0	2	4	4	30	39	4	5
XPO4	304	287	280	204	74	204	375	565	537	1	0	385	493	50	53	294	290
LATS2	1842	1829	1784	932	443	1262	1389	1566	1277	26	12	1824	2353	255	211	913	1186
LOC109494173	651	528	698	273	180	421	3927	5028	4339	0	7	4038	4502	165	138	3594	4639
SAP18	6	10	9	3	2	4	18	35	20	11	18	31	30	20	32	16	34
LOC111559175	1012	1061	1074	615	235	743	1566	1648	1461	0	6	1513	1781	135	136	1647	2149
SKA3	33	18	19	17	9	17	7	2	0	1	0	0	0	4	7	0	3
MRPL57	178	177	182	138	68	132	40	24	27	0	1	59	79	89	96	49	58
ZDHHC20	786	648	814	399	140	523	527	593	466	0	0	663	863	51	30	415	488
LOC109494403	2362	2019	2514	1366	573	1630	1679	1755	1283	5	46	2019	2596	129	144	1700	2050
MICU2	110	54	79	76	30	52	31	22	23	11	17	44	56	19	14	11	27
LOC109494431	1405	903	1233	697	299	891	1180	1250	900	143	181	1674	2335	136	95	986	1315
FGF9	120	42	58	69	28	37	9	6	3	0	0	16	25	94	94	6	3
LOC111556740	40	36	44	19	17	23	19	29	13	4	20	31	28	89	104	13	15
LOC109492527	0	1	0	0	1	0	0	0	0	12	25	0	0	0	0	0	0
