genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
LOC102899061	6	2	3	7	17	3	0	0	1	0	1	46	46	1	1
LOC101090826	3	0	0	2	18	0	1	1	1	0	0	81	102	0	0
TRNAE-UUC	3	5	3	0	0	2	0	0	1	0	0	7	5	1	2
CCDC115	1676	1807	1548	724	287	1230	1048	1490	1210	1278	1727	116	116	1006	1213
IMP4	408	361	375	161	63	248	403	543	506	624	720	74	80	356	419
PTPN18	284	254	301	179	76	199	148	372	359	156	198	114	126	94	159
LOC111559468	11	4	3	12	12	4	5	1	4	7	1	129	138	0	1
LOC102899369	48	29	27	31	40	13	19	9	7	12	14	444	468	1	5
LOC109493243	0	2	0	1	4	1	2	0	0	0	0	22	22	1	0
ATP12A	6	2	1	4	27	5	20	19	10	1	2	249	253	5	3
RNF17	1	6	6	4	21	4	3	2	2	7	4	128	156	6	5
CENPJ	263	292	271	176	73	171	451	539	449	568	756	275	242	369	423
PARP4	1490	1444	1488	649	369	874	2979	2101	1603	5016	6106	270	286	2137	2598
MPHOSPH8	1392	1233	1099	708	301	706	720	716	586	804	1129	279	251	512	657
PSPC1	1959	1694	1878	1215	399	1265	1015	1037	767	1149	1468	340	255	745	882
ZMYM5	835	740	815	417	173	503	487	405	325	439	616	96	115	357	492
LOC111559482	27	9	21	14	5	14	10	11	8	11	13	9	13	2	5
ZMYM2	3453	3112	3230	2028	855	2303	3066	3172	2552	3524	4645	165	154	2091	2515
LOC111558556	20	8	6	13	14	7	9	6	5	14	11	41	59	4	10
GJA3	17	19	26	23	7	19	3	4	1	4	4	62	50	1	1
GJB2	0	2	3	0	6	1	2	11	5	10	31	63	67	6	14
GJB6	3	3	1	1	5	1	0	0	0	0	0	34	57	0	0
LOC111556713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRYL1	2425	2884	2994	1966	842	3440	1894	2892	2549	1556	1850	47	47	1590	1887
LOC109493944	15	13	16	10	9	9	17	38	22	24	32	10	14	12	13
IFT88	567	600	612	466	153	417	1205	1086	842	1444	1899	113	125	480	605
IL17D	12	7	7	10	8	9	13	26	23	34	50	14	8	14	20
LOC111558748	47	24	40	31	23	23	18	8	18	17	28	24	32	5	16
LOC109494068	11	6	10	21	10	5	6	5	4	4	4	30	39	4	5
EEF1AKMT1	304	287	280	204	74	204	375	565	537	385	493	50	53	294	290
XPO4	1842	1829	1784	932	443	1262	1389	1566	1277	1824	2353	255	211	913	1186
LATS2	651	528	698	273	180	421	3927	5028	4339	4038	4502	165	138	3594	4639
LOC109494173	6	10	9	3	2	4	18	35	20	31	30	20	32	16	34
SAP18	1012	1061	1074	615	235	743	1566	1648	1461	1513	1781	135	136	1647	2149
LOC111559175	33	18	19	17	9	17	7	2	0	0	0	4	7	0	3
SKA3	178	177	182	138	68	132	40	24	27	59	79	89	96	49	58
MRPL57	786	648	814	399	140	523	527	593	466	663	863	51	30	415	488
ZDHHC20	2362	2019	2514	1366	573	1630	1679	1755	1283	2019	2596	129	144	1700	2050
LOC109494403	110	54	79	76	30	52	31	22	23	44	56	19	14	11	27
MICU2	1405	903	1233	697	299	891	1180	1250	900	1674	2335	136	95	986	1315
LOC109494431	120	42	58	69	28	37	9	6	3	16	25	94	94	6	3
FGF9	40	36	44	19	17	23	19	29	13	31	28	89	104	13	15
LOC111556740	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC109492527	0	1	0	0	3	2	0	0	0	0	0	13	12	0	0
LOC109492533	0	0	0	0	2	0	0	0	0	0	0	28	28	0	0
LOC109492531	0	0	0	0	0	0	0	0	0	0	1	12	10	0	0
LOC109492534	1	2	0	0	2	0	0	0	0	0	0	6	2	1	0
SGCG	1	4	2	1	4	0	0	6	2	1	1	44	77	1	0
SACS	2900	1775	2527	2644	812	1761	2289	2422	1866	3106	4148	513	427	1249	1399
TNFRSF19	133	64	60	91	53	165	23	13	16	65	60	102	135	10	2
MIPEP	371	342	419	307	108	341	393	392	297	503	685	91	105	220	255
LOC102900817	4	3	2	2	5	1	1	0	2	0	0	15	23	2	1
LOC111559532	1	1	1	0	3	3	1	0	0	2	0	3	3	0	2
C1QTNF9	8	2	3	4	17	5	2	0	0	0	0	96	95	1	0
SPATA13	934	786	706	204	175	520	315	91	98	98	122	358	374	60	57
LOC109494942	10	7	6	4	7	1	6	0	1	0	2	35	21	0	0
