X1	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
LOC102899061	0	0	1	0	1	46	46	1	1
LOC101090826	1	1	1	0	0	81	102	0	0
TRNAE-UUC	0	0	1	0	0	7	5	1	2
CCDC115	1048	1490	1210	1278	1727	116	116	1006	1213
IMP4	403	543	506	624	720	74	80	356	419
PTPN18	148	372	359	156	198	114	126	94	159
LOC111559468	5	1	4	7	1	129	138	0	1
LOC102899369	19	9	7	12	14	444	468	1	5
LOC109493243	2	0	0	0	0	22	22	1	0
ATP12A	20	19	10	1	2	249	253	5	3
RNF17	3	2	2	7	4	128	156	6	5
CENPJ	451	539	449	568	756	275	242	369	423
PARP4	2979	2101	1603	5016	6106	270	286	2137	2598
MPHOSPH8	720	716	586	804	1129	279	251	512	657
PSPC1	1015	1037	767	1149	1468	340	255	745	882
ZMYM5	487	405	325	439	616	96	115	357	492
LOC111559482	10	11	8	11	13	9	13	2	5
ZMYM2	3066	3172	2552	3524	4645	165	154	2091	2515
LOC111558556	9	6	5	14	11	41	59	4	10
GJA3	3	4	1	4	4	62	50	1	1
GJB2	2	11	5	10	31	63	67	6	14
GJB6	0	0	0	0	0	34	57	0	0
LOC111556713	0	0	0	0	0	0	0	0	1
CRYL1	1894	2892	2549	1556	1850	47	47	1590	1887
LOC109493944	17	38	22	24	32	10	14	12	13
IFT88	1205	1086	842	1444	1899	113	125	480	605
IL17D	13	26	23	34	50	14	8	14	20
LOC111558748	18	8	18	17	28	24	32	5	16
LOC109494068	6	5	4	4	4	30	39	4	5
EEF1AKMT1	375	565	537	385	493	50	53	294	290
XPO4	1389	1566	1277	1824	2353	255	211	913	1186
LATS2	3927	5028	4339	4038	4502	165	138	3594	4639
LOC109494173	18	35	20	31	30	20	32	16	34
SAP18	1566	1648	1461	1513	1781	135	136	1647	2149
LOC111559175	7	2	0	0	0	4	7	0	3
SKA3	40	24	27	59	79	89	96	49	58
MRPL57	527	593	466	663	863	51	30	415	488
ZDHHC20	1679	1755	1283	2019	2596	129	144	1700	2050
LOC109494403	31	22	23	44	56	19	14	11	27
MICU2	1180	1250	900	1674	2335	136	95	986	1315
LOC109494431	9	6	3	16	25	94	94	6	3
FGF9	19	29	13	31	28	89	104	13	15
LOC111556740	0	0	0	0	0	0	0	0	0
LOC109492527	0	0	0	0	0	13	12	0	0
LOC109492533	0	0	0	0	0	28	28	0	0
LOC109492531	0	0	0	0	1	12	10	0	0
LOC109492534	0	0	0	0	0	6	2	1	0
SGCG	0	6	2	1	1	44	77	1	0
SACS	2289	2422	1866	3106	4148	513	427	1249	1399
TNFRSF19	23	13	16	65	60	102	135	10	2
MIPEP	393	392	297	503	685	91	105	220	255
LOC102900817	1	0	2	0	0	15	23	2	1
LOC111559532	1	0	0	2	0	3	3	0	2
C1QTNF9	2	0	0	0	0	96	95	1	0
SPATA13	315	91	98	98	122	358	374	60	57
LOC109494942	6	0	1	0	2	35	21	0	0
LOC109494916	0	0	0	1	0	118	113	0	0
LOC109494931	0	0	0	0	0	66	89	0	0
LOC109494958	0	0	1	0	0	47	49	0	1
LOC111559449	0	2	0	0	0	69	78	0	0
AMER2	8	3	5	6	8	27	21	9	8
LOC109495032	0	0	0	1	0	64	70	0	0
LOC109495042	0	0	0	0	0	48	66	0	0
MTMR6	2823	3752	2929	3487	4517	132	120	2268	2870
NUP58	871	960	765	1171	1499	182	133	578	765
LOC111559502	0	0	0	0	0	17	31	0	0
LOC101085594	0	4	1	1	0	320	353	0	0
LOC109495412	0	0	0	1	0	32	41	0	0
LOC111559455	0	0	0	1	0	80	97	0	0
SHISA2	3	41	41	9	16	66	72	4	8
LOC101096779	3	10	11	3	6	171	251	0	1
RNF6	948	919	747	1053	1467	157	191	538	632
CDK8	596	769	716	909	1121	113	88	609	769
LOC109495641	1	1	3	2	6	19	34	3	4
LOC109495885	1	0	0	0	0	41	59	2	1
WASF3	153	156	159	281	339	150	179	216	274
LOC111556724	0	0	0	0	0	1	4	0	0
LOC109495851	0	0	0	0	0	17	21	0	1
GPR12	0	0	0	0	0	35	53	0	0
USP12	2122	1864	1582	3636	4824	162	116	1224	1522
LOC109496069	4	8	3	8	15	15	10	0	5
LOC111559476	2	1	0	0	1	1	1	0	0
LOC102901461	253	314	286	166	208	79	88	265	334
RPL21	9748	10149	8024	9099	12595	287	154	6238	7554
LOC111557008	10	2	4	12	7	2	0	7	1
LOC111557034	17	19	6	34	31	32	7	7	7
RASL11A	2382	1797	1615	4477	5504	20	23	1509	1703
LOC109496221	2	0	0	1	1	21	35	0	0
GTF3A	758	857	678	1033	1298	100	73	507	676
MTIF3	212	171	185	187	251	50	23	100	98
LOC111559484	1	0	1	2	2	7	12	0	0
LOC109496316	29	24	15	22	29	21	26	9	13
LNX2	525	576	446	600	721	182	176	361	488
POLR1D	387	353	259	418	531	27	19	286	357
LOC111559488	536	635	551	511	577	23	13	431	597
GSX1	0	0	0	0	0	7	19	0	0
PDX1	0	0	0	0	0	38	38	0	0
CDX2	0	0	0	1	0	38	47	0	0
URAD	0	0	1	0	0	9	11	0	0
FLT3	0	1	2	0	2	188	221	1	4
LOC109496442	1	2	2	3	2	34	48	2	0
LOC102901710	10	1	2	1	3	16	36	1	2
PAN3	728	849	602	795	1047	258	214	457	650
FLT1	61	248	240	12	18	277	270	1075	1304
LOC102901737	1	1	0	4	6	11	29	3	2
