genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
CCDC115	6.27104061807655	6.519654115822206	6.227432144925116	5.91548706873248	5.654900733871289	6.313925210882927	5.557268629201806	5.917933137132042	5.873620103777868	5.620602410661747	5.720875353461545	5.956977894534325	5.959894973586262
IMP4	4.235589211331206	4.199306289890613	4.18502823622352	3.750773888626681	3.4724072361458895	4.007301415877762	4.1809565225953085	4.463745458316635	4.617550571610927	4.587884051835117	4.460607273962165	4.460437093269097	4.428554440027188
PTPN18	3.7145990339540935	3.6938061006316296	3.8688857556035425	3.903128309976466	3.741931322877095	3.6908451279369774	2.7426797470111617	3.9196132034131086	4.123612077418517	2.59694638466026	2.6068102691415818	2.548489325499994	3.0361541659414946
CENPJ	3.604214068596306	3.8942129138864074	3.7179671879824414	3.8788271768672806	3.6840521916349434	3.472996745767846	4.342876446185362	4.453103041975278	4.445505443696582	4.45252768204612	4.530838985222324	4.512064045585351	4.4422298579048975
PARP4	6.101448590647574	6.19632800313972	6.170440416742208	5.757855367802249	6.017149361852831	5.821345137622267	7.063454501065693	6.413346404923536	6.279082732087211	7.592147711081673	7.541843602713976	7.043313490065965	7.058092585117099
MPHOSPH8	6.003370190095338	5.968600114866692	5.733615360289372	5.88327401634364	5.723546209355473	5.513686684441893	5.016403587295566	4.861954658039336	4.828908523577998	4.95285494256106	5.108384428355383	4.983694745563849	5.076271136983694
PSPC1	6.495999541681653	6.426544465248606	6.506052823706666	6.6618937868906105	6.129832687634716	6.354378936267447	5.511159956184692	5.395563128645657	5.21662923210256	5.467259655775649	5.486702995237323	5.524070849798984	5.500605283138382
ZMYM5	5.266816671871272	5.232799568369019	5.302773108206158	5.120433349798515	4.925574819564428	5.025220507294346	4.453405292900306	4.041840052091141	3.980505244999268	4.081835397072597	4.236099402214875	4.464474654148225	4.659760308067631
ZMYM2	7.313383104662721	7.30356656290448	7.288054279356329	7.40070658251758	7.22881323338963	7.218354468180391	7.104968614387287	7.007374302305576	6.949587640039786	7.082984176302863	7.14741760805712	7.011931798228261	7.011267601735632
CRYL1	6.803711730931697	7.19383213547364	7.1786310899448695	7.355925852066226	7.20671654760592	7.7970868663658335	6.410374787835818	6.8741039233490575	6.947891378187997	5.9042919801792255	5.820040672899135	6.616943406020533	6.596991613364154
IFT88	4.709283588283365	4.930688917914566	4.890116957560288	5.280495621517568	4.748647849653912	4.755170941339388	5.758461402104491	5.462093224178179	5.351048310365533	5.796615033792811	5.857722023032306	4.890738880001303	4.957498554290002
IL17D	-0.729550876280632	-1.3013559505267747	-1.361766082741578	-0.1787028393071009	0.5395741714858572	-0.6613857204291133	-0.6574788914622618	0.1435964834557845	0.21915040937700572	0.44159338453553787	0.6562932106160648	-0.1292638450370057	0.10565732462189781
EEF1AKMT1	3.8124141866141397	3.869380665301389	3.7649231447910383	4.091140818492031	3.703604378092697	3.7265075310263165	4.077367238860949	4.5209155261727405	4.703163892519667	3.8930763812043336	3.915721180129137	4.185073899032142	3.8991616639573214
XPO4	6.4072064883378195	6.53710313097192	6.432013621797863	6.2795578484146395	6.280647274564558	6.3509555789425844	5.963296515688346	5.989646522631303	5.951306368632823	6.133376859828181	6.166740947685237	5.8171538468578055	5.927446085766689
LATS2	4.908232903051718	4.7465901373202595	5.079509516638131	4.510391513989502	4.982706434142345	4.768918151619595	7.461922443987613	7.671757078861497	7.7150790620728955	7.279342741526405	7.1023213955723055	7.793092994657371	7.89426438065951
SAP18	5.54384676849979	5.752040610256201	5.700449847076691	5.6802977525869665	5.3668307661341945	5.587301276327305	6.136202107560833	6.063221486689554	6.145355687154455	5.863896487771677	5.765252892702835	6.66773149984992	6.784470890553839
SKA3	3.0438871948084065	3.1751747685144087	3.146318401052712	3.5292834365486847	3.5821073072373406	3.10147609686288	0.8842563837533229	0.033606329189411595	0.44117132104118323	1.2138557222089326	1.299143245143406	1.6200050128719503	1.5966399853134474
MRPL57	5.1796877808365975	5.041543226821256	5.301004111419967	5.056869217743756	4.6207947140402394	5.0813874735389355	4.567033987326094	4.590546874707649	4.498997935277011	4.675168630010337	4.721422390458887	4.68120051086269	4.648006771350457
ZDHHC20	6.7657533468316595	6.679615118600125	6.926637558367082	6.83081539892415	6.651663032284056	6.719914058099009	6.236650393298612	6.153909827094957	5.958063506223187	6.2798117741902	6.308435055845046	6.7134033442464505	6.716461241826438
LOC109494403	2.3549656323122474	1.4807171647061441	1.952995990739965	2.6738264356140378	2.40922206851181	1.7705253313922775	0.5279414881470587	-0.08546663341013136	0.21915040937700572	0.8013151334652232	0.8148292176488944	-0.4556115147066845	0.5209498924102146
MICU2	6.0167705982514965	5.519650423085971	5.899447923989643	5.86070279662717	5.713937431924597	5.849112700148141	5.728243635812771	5.664780302322128	5.44703801147275	6.009663675913604	6.15566999665986	5.9280309365976835	6.07628740815917
FGF9	0.9202496372595265	0.9087517561129819	1.1235416850220954	0.7076864460732251	1.6002474409976044	0.6203309401492112	-0.14675438821841522	0.2942970717312069	-0.556601054588429	0.31351032240908316	-0.1443271756044843	-0.23006087331472846	-0.2869789972232009
SACS	7.061673036318877	6.493890953221421	6.9340754912144655	7.78327062834333	7.154394268038019	6.831385574983959	6.683508066064486	6.618355786393739	6.4981250274696345	6.900900416596839	6.984216493512275	6.268892809727417	6.16555572252095
TNFRSF19	2.626422847830573	1.7217439410213273	1.5620538333324443	2.9318098890024915	3.224286031090316	3.4217050775190563	0.11478053564221319	-0.7918972342380743	-0.2772789630627993	1.3506775196820455	0.9116004272390366	-0.5831557788623253	-2.707832809693185
MIPEP	4.098824994751375	4.121524147331339	4.344667102538351	4.6793750540351216	4.247276544551788	4.465496600537949	4.144808225049788	3.994918520120256	3.8509636277406476	4.277625193932201	4.38888345782629	3.7681082060498867	3.7142762603947346
SPATA13	5.428262381725064	5.319690188209132	5.095926241856676	4.091140818492031	4.942130299094505	5.073100567992715	3.8266504898565943	1.9030431594765793	2.2615733092583277	1.9333652700957622	1.9156242680834012	1.9078326449750955	1.571971672184083
MTMR6	5.870013152979691	5.719063142452798	5.911091598778658	5.871006238808577	5.461744793748061	5.6199045786820525	6.985885613559019	7.249553795702505	7.148291616126859	7.067762319540662	7.107118491375217	7.129115310010616	7.20169006239945
NUP58	5.263361514402646	4.982556482518515	5.016227370497199	4.978988328282936	4.63104204266812	5.002126799368461	5.29068900496483	5.284392395621359	5.2128675258374235	5.494590985423673	5.516817799674149	5.158357408364615	5.295532533408572
RNF6	5.096696879184543	5.065790944523729	5.009743767093975	4.70263684858738	4.600079079914455	5.172122463017374	5.412752120379657	5.2215062711452385	5.1785633677220275	5.341536464891117	5.485721005919487	5.0550457965220374	5.020387767426045
CDK8	4.170672715008449	4.234736226843232	4.230346971931863	4.125972312940414	3.8858023970253988	4.161169756487328	4.744187383700473	4.964805943602905	5.1175018299873924	5.129667914813317	5.098140296152967	5.233626268078662	5.303046732282509
WASF3	-2.4061597660751395	-2.3021912305112315	-1.7741585069312351	-2.203505394933852	2.0300627812711824	-0.6613857204291133	2.790258365477379	2.672509044516985	2.9539041108459982	3.440602308418845	3.377610681677547	3.7417350441083754	3.8175698480732687
USP12	5.482761766800914	5.459359328710541	5.334249649869043	5.65428577298288	5.278328249590175	5.713513882768793	6.574271055092663	6.240780808184092	6.2600703628154335	7.128105894633888	7.201949844953623	6.239742192936542	6.287046072409414
LOC102901461	0.5179913864192384	0.0914783080920826	-0.27851423620468807	0.4681012053363181	1.8311028692130569	1.325861066058156	3.511694158468837	3.6759643782484903	3.796710073603563	2.68585779776505	2.67731810033088	4.035688460262731	4.102313271420643
RPL21	9.122021229529386	9.196955914360096	9.290270298049125	9.28028379706212	8.847905362630106	9.175719383491105	8.773354248283184	8.684857762054984	8.601878796996363	8.451148880541309	8.586193735727432	8.588446868868859	8.597573111248932
RASL11A	0.088920639054485065	-0.3940757230303792	0.9537939753537503	0.8478204646510915	-0.7942342756139689	0.42579055536751365	6.7409363352850225	6.188005285061001	6.28983549896259	7.4281881490768065	7.3921392557138965	6.541549299790021	6.449056959563133
GTF3A	5.28737562708406	5.378950803614471	5.591783246616969	5.476766632799054	4.933876306759698	5.354129815816516	5.0904916489730265	5.120877911245076	5.038945165022435	5.313906079260571	5.30935425086587	4.969559396441551	5.117340300129149
MTIF3	2.740163618275701	2.879341890989954	2.8690972712541756	2.993468688312264	2.709186992763961	2.7598058093417968	3.2578561635900045	2.803956308223671	3.1710802213669687	2.8564404381227146	2.9464689021294936	2.637009068852388	2.3435002213549416
LNX2	4.7979265335835635	5.087486166606494	4.6190799221180185	5.0640717887429485	4.7673494344491045	4.812712894199046	4.561560160184248	4.548672849417291	4.435856205985441	4.5314217297794395	4.462605036341109	4.48051284138522	4.648006771350457
POLR1D	5.223020800808232	5.621312900262513	5.5772404759271295	5.500851965153716	5.022172505542772	5.34956274202304	4.122676348399465	3.844237940476648	3.654193577554824	4.011333586721165	4.022499800898831	4.145384950430237	4.198115869974694
LOC111559488	4.89712830838324	5.420570124343616	5.36505407823851	5.463210080549034	5.335842261878088	5.293599489187847	4.591412402881618	4.6890712892407125	4.740223039748306	4.300331260509648	4.142001725080233	4.735671592641505	4.9383257723056255
PAN3	7.696632680845559	7.324272187856495	7.501421709755226	7.930431918174348	7.454746461167088	7.373186503680968	5.032320388379532	5.107366994710509	4.867703196578061	4.936640938698572	4.999765824134632	4.820022264969079	5.06084074649432
FLT1	1.6905699930714089	0.45411905149314286	0.8019681518980886	1.7220951725244074	2.7845642633052408	1.4333568888734198	1.479409428387859	3.337056510327471	3.5447340544965593	-0.9657413124033503	-0.7376915560604059	6.052608948831983	6.0641775887302725
POMP	5.422077827155395	5.535521896532811	5.6317399961001575	5.4928681152521985	5.291308749163172	5.724137847502789	6.508939497895233	6.470530398004174	6.347584488464742	6.424418382786498	6.696613490076201	6.7560274549334105	6.663446230297831
SLC46A3	5.3026048346845815	5.129921721764742	5.406775352871694	5.6802977525869665	5.4209860153483636	5.207886323517937	0.33610094343663544	1.8226456801433428	1.9722069566596059	0.4001497727073702	0.2380457965324533	2.127448044926665	2.2376890980808843
SLC7A1	4.985758280181178	4.659467371630597	4.764809471790932	5.852406731461822	4.990686491230113	4.723752234742269	6.293890154895715	6.488881826316875	6.578523274646254	6.511527276547814	6.504432446828952	6.087060831216905	6.026091373347918
LOC109496642	1.9008659798570609	1.3717732715482394	2.090426948542629	3.845775510968821	2.747367856695172	1.9741254484689024	0.1733741411898986	-0.3578921359987255	-0.9033107383654768	0.26815797033473704	-0.29819312944648557	-0.33843285820701796	-0.47981544844643115
UBL3	7.308362260347907	7.1444912972938255	7.272792483171019	7.336725144781219	6.958774481423517	7.154331765493989	6.513199164331875	6.7723670552764546	6.741444272492809	6.578079845936471	6.540344205031687	5.8344164510955	5.9419579900834885
