X1	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC4MINUS	MischiefMinus	X2654MINUS
LOC102899061	6	2	3	7	17	3	0	0	0	46	1
LOC101090826	3	0	0	2	18	0	1	1	0	81	0
TRNAE-UUC	3	5	3	0	0	2	0	0	0	7	1
CCDC115	1676	1807	1548	724	287	1230	1048	1490	1278	116	1006
IMP4	408	361	375	161	63	248	403	543	624	74	356
PTPN18	284	254	301	179	76	199	148	372	156	114	94
LOC111559468	11	4	3	12	12	4	5	1	7	129	0
LOC102899369	48	29	27	31	40	13	19	9	12	444	1
LOC109493243	0	2	0	1	4	1	2	0	0	22	1
ATP12A	6	2	1	4	27	5	20	19	1	249	5
RNF17	1	6	6	4	21	4	3	2	7	128	6
CENPJ	263	292	271	176	73	171	451	539	568	275	369
PARP4	1490	1444	1488	649	369	874	2979	2101	5016	270	2137
MPHOSPH8	1392	1233	1099	708	301	706	720	716	804	279	512
PSPC1	1959	1694	1878	1215	399	1265	1015	1037	1149	340	745
ZMYM5	835	740	815	417	173	503	487	405	439	96	357
LOC111559482	27	9	21	14	5	14	10	11	11	9	2
ZMYM2	3453	3112	3230	2028	855	2303	3066	3172	3524	165	2091
LOC111558556	20	8	6	13	14	7	9	6	14	41	4
GJA3	17	19	26	23	7	19	3	4	4	62	1
GJB2	0	2	3	0	6	1	2	11	10	63	6
GJB6	3	3	1	1	5	1	0	0	0	34	0
LOC111556713	0	0	0	0	0	0	0	0	0	0	0
CRYL1	2425	2884	2994	1966	842	3440	1894	2892	1556	47	1590
LOC109493944	15	13	16	10	9	9	17	38	24	10	12
IFT88	567	600	612	466	153	417	1205	1086	1444	113	480
IL17D	12	7	7	10	8	9	13	26	34	14	14
LOC111558748	47	24	40	31	23	23	18	8	17	24	5
LOC109494068	11	6	10	21	10	5	6	5	4	30	4
EEF1AKMT1	304	287	280	204	74	204	375	565	385	50	294
XPO4	1842	1829	1784	932	443	1262	1389	1566	1824	255	913
LATS2	651	528	698	273	180	421	3927	5028	4038	165	3594
LOC109494173	6	10	9	3	2	4	18	35	31	20	16
SAP18	1012	1061	1074	615	235	743	1566	1648	1513	135	1647
LOC111559175	33	18	19	17	9	17	7	2	0	4	0
SKA3	178	177	182	138	68	132	40	24	59	89	49
MRPL57	786	648	814	399	140	523	527	593	663	51	415
ZDHHC20	2362	2019	2514	1366	573	1630	1679	1755	2019	129	1700
LOC109494403	110	54	79	76	30	52	31	22	44	19	11
MICU2	1405	903	1233	697	299	891	1180	1250	1674	136	986
LOC109494431	120	42	58	69	28	37	9	6	16	94	6
FGF9	40	36	44	19	17	23	19	29	31	89	13
LOC111556740	0	1	0	0	1	0	0	0	0	0	0
LOC109492527	0	1	0	0	3	2	0	0	0	13	0
LOC109492533	0	0	0	0	2	0	0	0	0	28	0
LOC109492531	0	0	0	0	0	0	0	0	0	12	0
LOC109492534	1	2	0	0	2	0	0	0	0	6	1
SGCG	1	4	2	1	4	0	0	6	1	44	1
SACS	2900	1775	2527	2644	812	1761	2289	2422	3106	513	1249
TNFRSF19	133	64	60	91	53	165	23	13	65	102	10
MIPEP	371	342	419	307	108	341	393	392	503	91	220
LOC102900817	4	3	2	2	5	1	1	0	0	15	2
LOC111559532	1	1	1	0	3	3	1	0	2	3	0
C1QTNF9	8	2	3	4	17	5	2	0	0	96	1
SPATA13	934	786	706	204	175	520	315	91	98	358	60
LOC109494942	10	7	6	4	7	1	6	0	0	35	0
LOC109494916	42	37	32	15	17	25	0	0	1	118	0
LOC109494931	1	0	0	1	5	0	0	0	0	66	0
LOC109494958	3	1	0	1	7	0	0	0	0	47	0
LOC111559449	4	1	5	3	9	3	0	2	0	69	0
AMER2	3	4	6	5	1	0	8	3	6	27	9
LOC109495032	8	3	3	2	17	1	0	0	1	64	0
LOC109495042	0	0	3	1	6	0	0	0	0	48	0
MTMR6	1269	1037	1243	702	251	760	2823	3752	3487	132	2268
NUP58	833	622	668	378	141	495	871	960	1171	182	578
LOC111559502	0	0	0	0	9	0	0	0	0	17	0
LOC101085594	10	8	7	9	37	7	0	4	1	320	0
LOC109495412	2	2	1	6	7	2	0	0	1	32	0
LOC111559455	3	2	1	3	15	1	0	0	1	80	0
SHISA2	16	0	2	11	5	8	3	41	9	66	4
LOC101096779	11	7	4	5	21	6	3	10	3	171	0
RNF6	742	659	665	312	138	557	948	919	1053	157	538
CDK8	390	370	387	209	84	276	596	769	909	113	609
LOC109495641	7	14	7	4	14	3	1	1	2	19	3
LOC109495885	2	4	1	0	8	3	1	0	0	41	2
WASF3	3	3	5	2	23	9	153	156	281	150	216
LOC111556724	0	0	0	0	0	0	0	0	0	1	0
LOC109495851	1	0	1	2	4	0	0	0	0	17	0
GPR12	3	0	0	0	0	2	0	0	0	35	0
USP12	970	866	833	604	221	811	2122	1864	3636	162	1224
LOC109496069	35	25	43	21	10	29	4	8	8	15	0
