genes	logFC	logCPM	LR	PValue	FDR
ACTA2	-15.3613545616098	11.439629963699	789.013467416748	1.32054022935403e-173	4.25775183449472e-171
COL1A2	-14.959718803495	13.6193295707484	363.024340624757	6.18087597801885e-81	2.20206512399196e-79
GREM1	-14.0390608622601	11.6133285420594	216.678993860176	4.79517278788417e-49	6.83351861274499e-48
COL3A1	-13.7121121001143	12.2677175251888	214.982853711493	1.12410647367039e-48	1.58617080863534e-47
POSTN	-13.4325036859852	11.1995374747861	686.068257292732	3.2010797479518e-151	6.6587621789249e-149
COL5A2	-13.2413414577189	11.7526617109974	449.649537904405	8.59777143620405e-100	5.08648890884053e-98
PLS3	-13.0589639124906	9.59340198618626	1286.81359502639	8.29513807445819e-282	3.56607985820958e-278
MCP-1	-12.9800886827832	7.40275594721653	197.781039101827	6.36901150760752e-45	7.95941292767579e-44
HTRA1	-12.9078411588289	9.21724171689891	1388.28124755765	7.39514158408085e-304	4.76875705049454e-300
CCDC80	-12.7323201436392	10.7732666776132	892.220243077438	4.82008302748025e-196	2.82566412751876e-193
COL6A3	-12.453908210118	11.2505521007764	218.670476183214	1.76356124789479e-49	2.55271037195277e-48
SFRP1	-12.0043436563393	9.53539207839215	92.8979477037751	5.50615713821302e-22	2.86689174854797e-21
BGN	-11.8983569370424	9.01625661377513	667.063729795376	4.34669634528941e-147	7.89568207960528e-145
SNAI2	-11.6556663884841	6.42748817059604	687.669237945629	1.43596313243753e-151	3.03600270804045e-149
FBN1	-11.4051624032918	11.0200541011004	390.196635650439	7.50014171202527e-87	3.12030089225774e-85
COL1A1	-11.3341877272307	11.2021596925595	268.570604763529	2.32510581345214e-60	4.84440867142039e-59
LPL	-11.2892031574343	7.22751290466733	429.751841163413	1.84034746802675e-95	9.93094614859457e-94
GJA1	-11.2400876724625	7.76550464955281	459.439260132771	6.36675452076247e-102	3.91009681210826e-100
MMP2	-11.2115252552406	9.09247768962767	180.348793600008	4.06691338268199e-41	4.47916156246368e-40
IGFBP2	-11.1972756293606	7.03140163232713	55.5045420402576	9.32433197501032e-14	3.09300178708097e-13
NTN4	-11.1103299307304	7.75073516861143	378.826018890396	2.24159116217661e-84	8.86803718361711e-83
MEDAG	-11.0605050881524	7.69499778357264	1148.82934485076	8.05958221137707e-252	1.48492045400186e-248
EDIL3	-11.0202193352437	8.25120769574705	283.769367034388	1.13293499905733e-63	2.54555099004224e-62
C1QTNF3	-11.0115761945691	8.6626324227703	266.685955759948	5.98696886081514e-60	1.23148225515044e-58
IGFBP6	-10.9227819419482	7.43674128504536	264.987776185049	1.40390886348634e-59	2.84688877553197e-58
DPYSL3	-10.9177571392637	8.86081532887223	458.829877046103	8.64034187125845e-102	5.28125540822845e-100
CAVIN1	-10.9067784949274	9.77128357780625	594.597348848629	2.50569059254895e-131	3.19959322496077e-129
ACTC1	-10.9008469609944	8.49279398819674	210.320475179559	1.169357898972e-47	1.60438391734489e-46
ID4	-10.7589226697985	7.15065798960321	631.599860803968	2.24319475164554e-139	3.40358620140854e-137
CDH13	-10.7422950984511	7.52307883750425	404.100459571855	7.05224474635169e-90	3.22527661325169e-88
LOC101095064	-10.6772553509223	8.50915044407526	429.966136237689	1.65294532552443e-95	8.95715792575149e-94
PMP22	-10.67711143343	7.67311114686757	1195.75665746228	5.09914310154271e-262	1.64409121451491e-258
CDH2	-10.62658535431	7.96862187232652	285.905697094666	3.87872872181523e-64	8.86949722078919e-63
TNC	-10.5977418792816	9.39381917323705	122.077323167166	2.22014422800058e-28	1.53364756874791e-27
F3	-10.5765413786264	7.03305706227626	442.750376593114	2.72811366452657e-98	1.56375475250663e-96
CYR61	-10.5143433886442	8.6203460663545	912.828141722513	1.59646220390825e-200	1.02947865219023e-197
TWIST1	-10.4992331557862	4.44748382084097	717.720707057427	4.19071380766859e-158	1.01976671655664e-155
NOV	-10.4402482980406	6.42710375837714	81.3207500903793	1.91901052164439e-19	8.67793783227478e-19
C1R	-10.3552116606444	5.4172436061401	174.749648744827	6.79011570880577e-40	7.18982941678719e-39
ACTA1	-10.3258385171471	5.75059809059431	54.0570536997009	1.94751720085045e-13	6.34110813919925e-13
FERMT2	-10.3237228264863	8.70945918952959	232.428235370212	1.76115168594548e-52	2.83919666170485e-51
LOX	-10.2778136349639	9.81971805011414	413.315769045981	6.95625842716219e-92	3.41121159449091e-90
PAPPA	-10.2683939141716	8.95706980522848	146.18679448909	1.18169460790411e-33	1.00929240782379e-32
SEMA3C	-10.2253479914773	8.62679401736703	534.193646882266	3.45624823702527e-118	2.99162641026274e-116
COL5A1	-10.2249339575369	11.1819512864312	137.572053477979	9.04027550857174e-32	7.12667684804705e-31
COL8A1	-10.2037718048935	7.7180247517803	77.7364668761955	1.17747260869435e-18	5.13904035002741e-18
PARVA	-10.1764395085942	8.36329187580837	468.940479668887	5.44914841611979e-104	3.47909243181668e-102
LOC101099873	-10.1063768011534	8.44338710012776	238.406802294522	8.75182174015829e-54	1.47932169046948e-52
FSTL1	-10.1029207826491	11.3619478772794	833.032581079912	3.55109815946049e-183	1.4773713858891e-180
SERPINH1	-10.0780216228914	9.75865079694566	875.364561716183	2.22510985296001e-192	1.19571840723439e-189
COL6A1	-10.0762283326205	9.59928559878787	165.110463881541	8.65325371338052e-38	8.55835990348686e-37
LARP6	-10.0685932971978	6.21263583897903	767.352950873006	6.7655362796129e-169	1.93900269773706e-166
LHFPL6	-10.0562656063087	7.44353941527251	375.49874619328	1.18842045939012e-83	4.61658393516697e-82
IGFBP4	-10.0548083339577	8.65147217454347	1034.04285999291	7.15645149761124e-227	6.59262535462087e-224
LOXL1	-10.0522925753795	7.35188528572525	1151.11149401784	2.57229009704638e-252	5.52913756360119e-249
COL12A1	-10.0512834543416	10.0307620106125	143.197633490565	5.3213214545237e-33	4.43340328158864e-32
PRRX1	-10.0403156347348	7.85915728923363	583.852203294496	5.44694319490213e-129	6.3287591337525e-127
FAT1	-10.0293261661133	9.7798625588041	122.747908383689	1.58341441222883e-28	1.10564676093747e-27
FAP	-9.98230314263198	7.47985684888166	295.771655499973	2.74793659057508e-66	6.69945901864779e-65
LOC101086605	-9.97335749901507	6.22166470315092	868.00349395811	8.86373107511391e-191	4.57262158702976e-188
YAP1	-9.87998504950309	7.76545419314128	1098.19620209188	8.1457339156149e-241	1.05055530309685e-237
LOC111560945	-9.8767194915758	3.8083209129315	422.175557857783	8.20187692864621e-94	4.23118426995001e-92
LOC102900068	-9.86702319227871	3.13389722092011	389.955894586017	8.46211774964838e-87	3.50919397483007e-85
NUPR1	-9.84710158793436	6.17097859065413	373.960462349342	2.56975025961892e-83	9.7764215629219e-82
LUM	-9.81024450032203	5.28569937542557	155.984401911528	8.53249465086611e-36	7.91111312093603e-35
APOE	-9.77197556841708	7.23143720323044	206.073555099576	9.87512289177596e-47	1.32115622339455e-45
PCDH7	-9.75688999807045	7.63303974399836	323.324022298428	2.73444198067085e-72	7.9071969113704e-71
COL4A1	-9.71126573039818	9.88958675328416	150.562680832063	1.30608841925845e-34	1.15374125638194e-33
