gene_id	logFC	logCPM	LR	PValue	FDR
ACTA2	-15.6321980903088	11.1010405167348	882.498869844272	6.25745190487281e-194	3.98849984416593e-191
COL1A2	-15.3029891678291	13.3667375683242	291.925240673223	1.89264212076308e-65	4.35827343849129e-64
GREM1	-14.268520592522	11.2436308195282	188.360181131583	7.248965677997e-43	9.5543646053666e-42
COL3A1	-14.098728355013	12.026665958814	198.265015251811	4.9940451088426e-45	6.99297968448214e-44
POSTN	-13.6925694346004	10.8880721395349	528.298912357131	6.62263438026171e-117	4.93138686212478e-115
COL5A2	-13.6186985016924	11.4986666761318	448.056507609839	1.91018448573795e-99	9.57194647177179e-98
PLS3	-13.3337493969223	9.25727247955191	1235.58156423633	1.12856330573566e-270	8.9918281384489e-267
HTRA1	-13.1955982216204	8.89514467713832	1306.78463167612	3.79165715400954e-286	6.04200567491421e-282
MCP-1	-13.1598550474182	6.9929342795517	267.43470699477	4.11162406617839e-60	8.46495213107915e-59
CCDC80	-13.102752751053	10.5452473151569	727.486743080696	3.1527787109947e-160	6.61046431048692e-158
COL6A3	-12.8166071794798	10.966412708734	224.956939791698	7.50243059805508e-51	1.24532532895841e-49
SFRP1	-12.2589699829681	9.12562404736836	105.084693860246	1.17025412792011e-24	8.2222220142888e-24
BGN	-12.25177171385	8.73632136113275	753.818812487862	5.93003202807629e-166	1.6292251787482e-163
SNAI2	-11.9649121730691	6.14637676918619	748.694822769055	7.71248660831648e-165	2.04830790172538e-162
FBN1	-11.7894524123064	10.7834454156379	344.427851194236	6.92757832574234e-77	2.15187057740164e-75
COL1A1	-11.7032324627607	10.9342251242085	255.926932201479	1.32548302949641e-57	2.58842795037075e-56
LPL	-11.5723445067876	6.88928492526814	475.272163789547	2.28307816695143e-105	1.30397313943982e-103
IGFBP2	-11.5073374975873	6.61653177977802	70.1132862634993	5.59945526509643e-17	2.63285097814434e-16
MMP2	-11.4702952415966	8.79929141318213	129.296428748267	5.84100690391483e-30	5.01219413106531e-29
NTN4	-11.4244877420722	7.41887480196469	438.207973047209	2.65743185011116e-97	1.26406497109019e-95
MEDAG	-11.3914518806919	7.42301278898581	956.877900245464	4.24290342824567e-210	4.82933329493534e-207
GJA1	-11.350097341421	7.51243091387616	191.288510125826	1.66372671396128e-43	2.233486536392e-42
EDIL3	-11.3381864230952	7.92934266838942	311.704039766897	9.28997035013242e-70	2.40317658326883e-68
C1QTNF3	-11.3073970612863	8.32335194737428	335.454008797042	6.2362850033611e-75	1.83011420862908e-73
