gene_id	logFC	logCPM	LR	PValue	FDR
COL1A2	-14.7197931313057	13.5574032351367	92.3426695724382	7.28955233744045e-22	5.90498736569327e-20
GREM1	-13.6023621041303	11.4197011141474	71.0348747513477	3.50965905910942e-17	1.15143139581732e-15
COL3A1	-13.5319392764022	12.2196598608978	80.7937511620339	2.50548991444715e-19	1.15366821569438e-17
COL5A2	-13.003681967397	11.6937569842148	103.184799511793	3.05299566238712e-24	4.45160689750068e-22
POSTN	-12.9253489462448	11.0759160049518	90.16582440951	2.19012666625227e-21	1.5705482099032e-19
HTRA1	-12.7136308470396	9.08019899406287	122.643993145889	1.66855500266781e-28	9.56207034264912e-26
MCP-1	-12.7047890182183	7.16580971215794	93.1887493827086	4.7537572253271e-22	4.07735660574951e-20
CCDC80	-12.4305871391501	10.7379735736665	100.432802551091	1.22482703606441e-23	1.4480545220066e-21
COL6A3	-12.2896018972335	11.165704388946	93.5571631871273	3.9463683243022e-22	3.42968155760382e-20
SFRP1	-11.7075358381299	9.28649749884563	62.2872309057204	2.96843589291697e-15	7.40585251383068e-14
BGN	-11.4478991562286	8.92874813190681	92.3238529160082	7.35919287955869e-22	5.92482749438335e-20
SNAI2	-11.4473667560951	6.35756846132655	143.048209544198	5.73706984454643e-33	7.52875675699827e-30
FBN1	-11.2602152005713	10.97823173192	101.960834270811	5.66304235639609e-24	7.74126092114437e-22
MMP2	-10.8846666344915	8.99183976996426	59.4690554938867	1.24232307076956e-14	2.85516736562328e-13
IGFBP2	-10.8844171781215	6.78293444598995	45.9373463375698	1.22096016484072e-11	1.88946465132132e-10
C1QTNF3	-10.8182302012287	8.5153926118636	95.9509415996026	1.17765823190749e-22	1.1980161997924e-20
LPL	-10.7956163044246	7.09209597529372	92.5641788899139	6.51765169314055e-22	5.51813826897312e-20
MEDAG	-10.7108607421752	7.61597225351559	97.7716847464691	4.69513661133308e-23	5.00929087402635e-21
EDIL3	-10.6908171273885	8.11735880374032	87.8186338006417	7.17399039892419e-21	4.7308681409589e-19
IGFBP6	-10.6904589083519	7.28983497830386	89.8784687532437	2.53248137275386e-21	1.79641908403508e-19
NTN4	-10.5593460385833	7.60546994309839	77.148315880296	1.58589809359462e-18	6.40361251761299e-17
GJA1	-10.5182449204444	7.70629950279138	53.7312352293753	2.2987933409165e-13	4.48914657929274e-12
F3	-10.5172024857495	7.03965291557277	128.488203362761	8.77673359106062e-30	6.0619513113415e-27
DPYSL3	-10.5138144273282	8.74489691037014	92.3620327143211	7.2185773371968e-22	5.90498736569327e-20
ACTC1	-10.4542775285088	8.27206551933414	69.2627491354385	8.61820363693177e-17	2.63015549598734e-15
TNC	-10.4024232579682	9.21513507618394	80.5795052811998	2.79240668761081e-19	1.27682066068002e-17
LOC101095064	-10.3104559010115	8.48837070938959	81.1057078286395	2.13961093611995e-19	9.95677812578087e-18
CDH13	-10.3025136377416	7.41926880247967	84.9891361977767	3.00008921483963e-20	1.70433639681128e-18
NOV	-10.2291833052748	6.28508756642655	63.3767078474112	1.70724848598656e-15	4.45411965837009e-14
COL8A1	-10.1932720063956	7.71355693269646	62.3145540214392	2.92753528770814e-15	7.33168808789961e-14
PAPPA	-10.1730103233296	8.93795670671703	75.0478531285064	4.59442279398174e-18	1.7476118934905e-16
COL5A1	-10.1638721611817	11.1277105309068	68.440090377519	1.30791341045387e-16	3.90973751375537e-15
CDH2	-10.1192661751891	7.81775989722264	65.8500080130958	4.86578374291343e-16	1.36875355962075e-14
COL12A1	-10.0614683829851	10.0723910169937	70.7002894711096	4.1583145059466e-17	1.35073171439449e-15
FSTL1	-10.054272016162	11.282490665887	92.5310330661183	6.6277305911351e-22	5.57536593252987e-20
LOX	-10.0462938962197	9.64294674131144	90.2523147861119	2.09644884447874e-21	1.52842767700525e-19
CYR61	-10.0345285251455	8.49027329686948	80.6843647340723	2.64809121672621e-19	1.2150664698286e-17
SEMA3C	-10.0106641099643	8.55914698018267	91.6212852999768	1.04957945681514e-21	8.00792512313086e-20
FERMT2	-9.99266422856797	8.5888294126431	71.2979417983017	3.07156052936319e-17	1.01276605092546e-15
COL6A1	-9.96633251100997	9.55079927217767	70.7185579029347	4.11998634545917e-17	1.34160250152508e-15
LOC101099873	-9.96368671535738	8.46751339501964	80.2712286156197	3.26387052407579e-19	1.46684153724132e-17
SERPINH1	-9.93255812158394	9.67816891678456	91.9594060734592	8.8472844093696e-22	6.91327820031659e-20
PARVA	-9.92342390996388	8.21878260304952	104.890611889704	1.29068024231116e-24	2.281357530859e-22
FAT1	-9.90758668562044	9.69522680997135	63.3025266682374	1.77276769552806e-15	4.60673870661678e-14
LHFPL6	-9.84991092654517	7.31051470988485	105.550838924765	9.24941775758171e-25	1.75913201786587e-22
IGFBP4	-9.82627389567405	8.4943498878583	122.385982237096	1.90027742468036e-28	1.03905586017001e-25
LOXL1	-9.75621295197991	7.23766263003374	98.5579224512597	3.15655541870773e-23	3.51046413217809e-21
COL4A1	-9.64750080420817	9.84888424490237	70.530852760171	4.53124210779429e-17	1.45387506553996e-15
YAP1	-9.62290717387808	7.65077076792354	115.604179258821	5.8029116989105e-27	1.90379025562006e-24
FAP	-9.61380331715213	7.4351552817277	73.5929452356867	9.60072098517931e-18	3.46127092001396e-16
PRRX1	-9.59715261554053	7.79213557985052	85.464633524272	2.35882987951853e-20	1.38191627271972e-18
SERPINE1	-9.56761658951149	9.80223672947371	104.966458298898	1.24220913733864e-24	2.23308363141027e-22
LOC101086605	-9.54886699302402	6.11888476324943	99.5298960898434	1.93224426723093e-23	2.24396827600633e-21
LARP6	-9.53229300458027	6.16561827717597	70.6628620581219	4.23795686589957e-17	1.36785687684868e-15
LUM	-9.50712325782907	5.10987850740092	85.5770899623451	2.22842382510516e-20	1.32925481167523e-18
ID1	-9.48433402061586	4.81643374131224	129.970778312399	4.15854847590583e-30	3.366926224369e-27
MXRA5	-9.48286712979106	8.38082502198446	60.7982948598704	6.32326688062831e-15	1.51147962248607e-13
ITGBL1	-9.37447746303567	5.12185810122839	46.4149765434034	9.5681385837645e-12	1.50916685859064e-10
PCDH7	-9.35970945643312	7.50156903947561	74.8924777577432	4.9706027136222e-18	1.87440285663403e-16
