Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
4438_S1_L002_R1_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	pass	56652626.0	pass	fail	warn	52.0	31.3919295252	4438_S1_L002_R1_001.fastq.gz	pass	pass
4438_S1_L002_R2_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	pass	56652626.0	pass	fail	warn	52.0	35.3768254398	4438_S1_L002_R2_001.fastq.gz	pass	pass
4460_S2_L002_R1_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	warn	61559590.0	pass	fail	warn	52.0	22.4624418379	4460_S2_L002_R1_001.fastq.gz	pass	pass
4460_S2_L002_R2_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	pass	61559590.0	pass	fail	warn	53.0	27.6173041887	4460_S2_L002_R2_001.fastq.gz	pass	pass
4474_S3_L002_R1_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	warn	61433334.0	pass	fail	warn	52.0	25.3314211941	4474_S3_L002_R1_001.fastq.gz	pass	pass
4474_S3_L002_R2_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	pass	61433334.0	pass	fail	warn	52.0	29.6473488004	4474_S3_L002_R2_001.fastq.gz	pass	pass
4501_S4_L002_R1_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	fail	33508281.0	pass	fail	warn	51.0	37.839976683	4501_S4_L002_R1_001.fastq.gz	pass	pass
4501_S4_L002_R2_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	fail	33508281.0	pass	fail	warn	51.0	42.6394184164	4501_S4_L002_R2_001.fastq.gz	pass	pass
4510_S5_L002_R1_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	warn	29151009.0	pass	fail	warn	51.0	38.4807817678	4510_S5_L002_R1_001.fastq.gz	pass	pass
4510_S5_L002_R2_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	pass	29151009.0	pass	warn	warn	52.0	39.7798334894	4510_S5_L002_R2_001.fastq.gz	pass	pass
4520_S6_L002_R1_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	warn	61728707.0	pass	fail	warn	54.0	19.9743264602	4520_S6_L002_R1_001.fastq.gz	pass	pass
4520_S6_L002_R2_001	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	pass	151.0	Conventional base calls	pass	fail	61728707.0	pass	fail	warn	54.0	24.1658231008	4520_S6_L002_R2_001.fastq.gz	pass	pass
