Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4438_S1_L002_R1_001	68.6080704748	52.0	151.0	56652626.0	27.2727272727
4438_S1_L002_R2_001	64.6231745602	52.0	151.0	56652626.0	27.2727272727
4460_S2_L002_R1_001	77.5375581621	52.0	151.0	61559590.0	27.2727272727
4460_S2_L002_R2_001	72.3826958113	53.0	151.0	61559590.0	27.2727272727
4474_S3_L002_R1_001	74.6685788059	52.0	151.0	61433334.0	27.2727272727
4474_S3_L002_R2_001	70.3526511996	52.0	151.0	61433334.0	27.2727272727
4501_S4_L002_R1_001	62.160023317	51.0	151.0	33508281.0	36.3636363636
4501_S4_L002_R2_001	57.3605815836	51.0	151.0	33508281.0	36.3636363636
4510_S5_L002_R1_001	61.5192182322	51.0	151.0	29151009.0	27.2727272727
4510_S5_L002_R2_001	60.2201665106	52.0	151.0	29151009.0	18.1818181818
4520_S6_L002_R1_001	80.0256735398	54.0	151.0	61728707.0	27.2727272727
4520_S6_L002_R2_001	75.8341768992	54.0	151.0	61728707.0	36.3636363636
DC1MINUS_S7_L002_R1_001	77.7657791229	53.0	151.0	52850558.0	27.2727272727
DC1MINUS_S7_L002_R2_001	74.0351854265	53.0	151.0	52850558.0	27.2727272727
DC1PLUS_S8_L002_R1_001	79.4576945338	53.0	151.0	61400399.0	27.2727272727
DC2MINUES_S9_L002_R1_001	79.0124353175	53.0	151.0	56821913.0	27.2727272727
DC2MINUES_S9_L002_R2_001	75.0494630825	53.0	151.0	56821913.0	27.2727272727
DC2PLUS_S10_L002_R1_001	78.9010058341	53.0	151.0	49718625.0	27.2727272727
DC2PLUS_S10_L002_R2_001	73.8781368335	54.0	151.0	49718625.0	27.2727272727
DC2Pool_NoIndex_L001_I1_001	99.7757792623	39.0	8.0	20048993.0	36.3636363636
DC2Pool_NoIndex_L001_R1_001	51.5723762391	41.0	151.0	20048993.0	18.1818181818
DC2Pool_NoIndex_L001_R2_001	17.4284959098	41.0	151.0	20048993.0	9.09090909091
DC3Pool_NoIndex_L001_I1_001	99.9084337401	37.0	8.0	18601830.0	45.4545454545
DC3Pool_NoIndex_L001_R1_001	38.8444065091	41.0	151.0	18601830.0	18.1818181818
DC3Pool_NoIndex_L001_R2_001	6.08041490673	41.0	151.0	18601830.0	18.1818181818
DC4MINUS_S11_L002_R1_001	74.5986839302	53.0	151.0	48851532.0	36.3636363636
DC4MINUS_S11_L002_R2_001	71.3798741544	53.0	151.0	48851532.0	27.2727272727
DC4PLUS_S12_L002_R1_001	75.7940879641	51.0	151.0	57878070.0	27.2727272727
DC4PLUS_S12_L002_R2_001	74.005640012	52.0	151.0	57878070.0	27.2727272727
Mischief_Minus_S12_L002_R1_001	45.3411268965	44.0	151.0	50629823.0	27.2727272727
Mischief_Minus_S12_L002_R2_001	29.1538496593	45.0	151.0	50629823.0	18.1818181818
Mischief_Plus_S11_L002_R1_001	45.382273965	44.0	151.0	59835628.0	27.2727272727
Mischief_Plus_S11_L002_R2_001	26.8726268363	45.0	151.0	59835628.0	18.1818181818
X2654MINUS_S13_L002_R1_001	78.0535116133	53.0	151.0	39771557.0	27.2727272727
X2654MINUS_S13_L002_R2_001	73.4860055279	54.0	151.0	39771557.0	27.2727272727
X2654PLUS_S14_L002_R1_001	78.716641945	53.0	151.0	46438122.0	27.2727272727
X2654PLUS_S14_L002_R2_001	74.9045011608	53.0	151.0	46438122.0	27.2727272727
