Module	Section	Sample Name	Source
FastQC	all_sections	4460_S2_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4460_S2_L002_R1_001_fastqc.zip
FastQC	all_sections	4438_S1_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4438_S1_L002_R2_001_fastqc.zip
FastQC	all_sections	DC2MINUES_S9_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2MINUES_S9_L002_R2_001_fastqc.zip
FastQC	all_sections	DC3Pool_NoIndex_L001_I1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC3Pool_NoIndex_L001_I1_001_fastqc.zip
FastQC	all_sections	X2654PLUS_S14_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/X2654PLUS_S14_L002_R2_001_fastqc.zip
FastQC	all_sections	X2654MINUS_S13_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/X2654MINUS_S13_L002_R2_001_fastqc.zip
FastQC	all_sections	X2654MINUS_S13_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/X2654MINUS_S13_L002_R1_001_fastqc.zip
FastQC	all_sections	DC3Pool_NoIndex_L001_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC3Pool_NoIndex_L001_R1_001_fastqc.zip
FastQC	all_sections	4438_S1_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4438_S1_L002_R1_001_fastqc.zip
FastQC	all_sections	DC2MINUES_S9_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2MINUES_S9_L002_R1_001_fastqc.zip
FastQC	all_sections	4520_S6_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4520_S6_L002_R1_001_fastqc.zip
FastQC	all_sections	Mischief_Minus_S12_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/Mischief_Minus_S12_L002_R1_001_fastqc.zip
FastQC	all_sections	4510_S5_L002_R2_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4510_S5_L002_R2_001_fastqc.zip
FastQC	all_sections	DC2PLUS_S10_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/DC2PLUS_S10_L002_R1_001_fastqc.zip
FastQC	all_sections	4510_S5_L002_R1_001	/gpfs/summit/scratch/camcd@colostate.edu/felv_rnaseq/results/fastqc/raw/4510_S5_L002_R1_001_fastqc.zip
