N_unmapped	4086848	4086848	4086848
N_multimapping	10306278	10306278	10306278
N_noFeature	8177580	13399610	8857619
N_ambiguous	692842	515	40498
LOC102899061	17	10	7
LOC101090826	18	14	4
TRNAE-UUC	0	0	0
CCDC115	287	4	283
IMP4	63	5	58
PTPN18	76	6	70
LOC111559468	12	4	8
LOC102899369	40	22	18
LOC109493243	4	4	0
ATP12A	27	10	17
RNF17	21	8	14
CENPJ	73	11	63
PARP4	369	20	349
MPHOSPH8	301	23	278
PSPC1	399	4	395
ZMYM5	173	2	171
LOC111559482	5	19	1
ZMYM2	855	14	856
LOC111558556	14	6	8
GJA3	7	2	5
GJB2	6	1	5
GJB6	5	3	2
LOC111556713	0	0	0
CRYL1	842	4	838
LOC109493944	9	6	3
IFT88	153	5	148
IL17D	8	5	3
LOC111558748	23	9	14
LOC109494068	10	3	7
EEF1AKMT1	74	1	73
XPO4	443	18	425
LATS2	180	7	173
LOC109494173	2	1	1
SAP18	235	1	234
LOC111559175	9	7	2
SKA3	68	6	63
MRPL57	140	3	138
ZDHHC20	573	7	566
LOC109494403	30	27	3
MICU2	299	8	291
LOC109494431	28	2	26
FGF9	17	2	15
LOC111556740	1	1	0
LOC109492527	3	2	1
LOC109492533	2	0	2
LOC109492531	0	0	0
LOC109492534	2	2	0
SGCG	4	3	1
SACS	812	14	798
TNFRSF19	53	10	43
MIPEP	108	5	103
LOC102900817	5	0	5
LOC111559532	3	3	0
C1QTNF9	17	9	8
SPATA13	175	18	157
LOC109494942	7	4	3
LOC109494916	17	14	3
LOC109494931	5	4	1
LOC109494958	7	4	3
LOC111559449	9	3	6
AMER2	1	0	1
LOC109495032	17	5	12
LOC109495042	6	3	3
MTMR6	251	9	242
NUP58	141	5	136
LOC111559502	9	4	5
LOC101085594	37	17	20
LOC109495412	7	4	3
LOC111559455	15	2	13
SHISA2	5	1	4
LOC101096779	21	10	11
RNF6	138	0	138
CDK8	84	7	77
LOC109495641	14	6	8
LOC109495885	8	7	1
WASF3	23	15	8
LOC111556724	0	0	0
LOC109495851	4	3	1
GPR12	0	0	0
USP12	221	5	216
LOC109496069	10	2	8
LOC111559476	2	3	3
LOC102901461	20	8	16
RPL21	2627	6	2621
LOC111557008	12	0	12
LOC111557034	21	0	21
RASL11A	3	2	1
LOC109496221	5	2	3
GTF3A	174	11	204
MTIF3	37	41	37
LOC111559484	0	0	0
LOC109496316	5	2	3
LNX2	155	8	148
POLR1D	185	0	185
LOC111559488	230	7	223
GSX1	3	1	2
PDX1	3	3	0
CDX2	9	3	6
URAD	0	0	0
FLT3	60	6	55
LOC109496442	18	12	7
LOC102901710	7	2	5
PAN3	1000	7	993
FLT1	39	25	16
LOC102901737	18	3	17
LOC111559501	2	1	1
POMP	223	4	219
SLC46A3	244	4	240
MTUS2	25	10	15
LOC109496599	4	0	4
LOC109496695	6	2	4
SLC7A1	181	15	166
LOC109496642	38	33	5
LOC109496619	1	0	1
LOC109496645	6	2	4
LOC111559507	1	1	0
LOC109496768	18	1	17
LOC109496710	67	8	59
UBL3	709	6	703
LOC109496855	7	2	5
LOC111559546	6	4	2
KATNAL1	28	6	24
LOC102902205	9	4	7
LOC111559516	27	5	22
LOC109497259	39	5	34
HMGB1	1437	17	1420
LOC109497262	8	1	7
LOC109497264	17	3	14
USPL1	192	4	188
TRNAN-GUU	0	0	0
LOC111559523	14	2	12
ALOX5AP	138	3	135
LOC109497268	8	4	4
LOC102902594	6	3	3
LOC109492552	5	4	1
LOC109497270	2	0	2
MEDAG	5	2	3
LOC111559528	18	10	8
LOC109497286	1	0	1
TEX26	12	9	3
LOC111559529	5	2	3
LOC111559531	7	3	4
LOC109497276	10	4	6
LOC102900692	2	2	0
LOC102899076	8	4	4
HSPH1	182	7	189
LOC102899192	5	18	1
LOC109497283	1	1	0
LOC111559537	17	1	16
B3GLCT	91	9	82
LOC109497302	6	3	3
LOC109497301	37	27	10
LOC105260585	9	5	4
LOC109497305	1	1	0
RXFP2	10	3	7
FRY	2490	27	2465
LOC102901028	198	3	195
LOC109497331	2	2	0
LOC109497337	34	29	7
ZAR1L	18	8	14
BRCA2	71	46	35
N4BP2L1	133	3	136
N4BP2L2	430	3	427
PDS5B	360	8	352
LOC109497366	8	6	2
LOC109497357	15	6	9
KL	18	2	16
LOC109497379	10	7	3
LOC109497405	2	1	1
STARD13	77	15	64
LOC109497406	2	0	3
LOC111559553	3	5	1
LOC111559555	10	4	6
RFC3	33	1	32
LOC109497412	2	0	2
LOC109497409	4	3	1
LOC111559557	2	1	1
LOC109497407	2	0	2
LOC109497422	3	0	3
LOC109497423	4	4	0
LOC102901791	21	6	15
NBEA	4894	20	4874
LOC101083390	15	9	6
MAB21L1	2	2	0
LOC109492555	1	1	0
DCLK1	20	9	11
SOHLH2	12	8	4
LOC111559572	2	0	2
CCDC169	4	1	3
SPART	94	5	89
CCNA1	6	1	5
SERTM1	8	7	1
LOC109497469	7	2	5
RFXAP	108	5	103
SMAD9	17	8	9
ALG5	82	5	77
EXOSC8	45	9	53
SUPT20H	317	30	307
LOC111559720	1	1	3
POSTN	14	9	5
LOC109497540	4	0	4
TRPC4	18	10	8
LOC111557024	0	0	0
LOC109497541	2	1	1
LOC109492556	3	2	1
UFM1	193	0	193
FREM2	57	27	30
STOML3	3	0	3
LOC111557022	0	0	0
PROSER1	108	12	96
NHLRC3	172	4	168
LOC109492559	2	2	0
LOC111559741	4	3	1
LHFPL6	6	3	3
COG6	329	5	324
LOC109497583	8	4	4
LOC109497589	10	5	5
LOC109492560	2	1	1
LOC109497596	73	6	67
LOC109497598	13	7	6
LOC109497603	14	9	5
LOC109497600	2	1	1
FOXO1	1011	5	1006
MRPS31	145	5	140
SLC25A15	11	2	9
LOC101096867	18	8	10
THSD1	14	5	9
LOC111556783	2	1	1
VPS36	266	4	262
CKAP2	42	6	36
NEK3	66	4	62
NEK5	35	23	12
LOC109497673	3	0	3
ALG11	47	2	45
ATP7B	88	9	79
CCDC70	5	2	3
DHRS12	52	34	18
WDFY2	152	5	147
LOC102900676	12	11	1
LOC111556827	1	1	0
INTS6	490	14	476
SERPINE3	16	14	2
LOC109497734	3	1	2
LOC105260724	1	1	0
FAM124A	33	22	11
LOC109498200	5	3	2
LOC102900780	13	8	5
LOC101098598	4	3	1
LOC111559776	0	0	0
LOC111559777	19	3	16
RNASEH2B	117	3	114
TRNAK-CUU	0	0	0
DLEU7	24	19	5
LOC109497901	2	1	1
LOC111556929	0	0	0
LOC111556704	0	0	0
LOC102900852	123	6	117
LOC109497907	61	8	53
KCNRG	19	12	7
TRIM13	21	9	12
SPRYD7	58	1	57
LOC109497902	9	6	3
KPNA3	343	6	337
EBPL	47	2	45
RCBTB1	311	50	261
ARL11	110	0	110
LOC101100105	408	13	395
CAB39L	233	18	215
LOC109497890	182	2	180
CDADC1	413	5	408
LOC102901569	8	4	4
MLNR	4	1	3
FNDC3A	385	14	375
LOC105260363	21	20	5
CYSLTR2	54	6	48
LOC109497974	6	2	4
LOC111556256	2	2	0
RCBTB2	414	11	403
RB1	398	8	390
LPAR6	103	2	101
LOC111559794	1	1	0
ITM2B	3675	4	3671
LOC111556911	0	0	0
LOC109497981	12	5	7
MED4	99	2	97
NUDT15	64	1	63
SUCLA2	132	6	126
LOC109497998	7	2	5
HTR2A	141	3	138
LOC109498005	0	0	0
ESD	171	3	168
LRCH1	450	12	438
LOC111559803	27	13	17
RUBCNL	479	10	472
LRRC63	10	6	4
LCP1	3845	15	3830
LOC109498029	2	1	1
CPB2	3	1	2
ZC3H13	487	18	469
LOC109498060	4	3	1
LOC109498054	2	2	0
SIAH3	5	4	1
SPERT	6	6	0
LOC111559815	3	2	1
LOC111559816	4	2	2
ERICH6B	12	10	3
LOC109498055	3	1	3
COG3	388	4	384
SLC25A30	131	2	129
LOC109498076	7	5	2
LOC109498069	3	1	2
TPT1	14771	21	14750
LOC111557013	26	0	26
LOC111557014	5	0	5
LOC109498077	2	2	0
LOC111559737	1	1	0
GTF2F2	76	5	71
KCTD4	6	4	2
GPALPP1	164	5	159
NUFIP1	61	6	55
LOC101085341	0	0	0
TRNAE-UUC_1	1	0	1
LOC111559826	3	0	3
LOC109498105	4	2	2
TSC22D1	350	4	346
LOC109498118	12	2	10
SERP2	7	3	4
SMIM2	1	1	0
LOC109498125	5	1	5
LOC111559743	0	1	0
LOC102900805	14	7	7
LACC1	228	9	220
CCDC122	31	10	22
ENOX1	164	12	152
LOC109498151	3	3	0
DNAJC15	55	4	51
EPSTI1	1182	3	1179
LOC109498166	163	1	162
FAM216B	26	22	4
LOC109498172	8	2	6
LOC109498170	3	2	2
TNFSF11	9	2	8
AKAP11	427	5	422
LOC111559850	13	7	6
DGKH	1141	15	1126
VWA8	271	20	251
LOC109498198	20	6	14
RGCC	120	4	116
NAA16	344	7	345
MTRF1	88	11	85
LOC101088295	53	2	51
LOC101090830	49	1	48
WBP4	121	16	109
ELF1	1067	6	1070
TRNAE-UUC_2	1	1	0
LOC109498230	58	61	2
SUGT1	146	8	138
CNMD	14	9	5
LOC101091586	6	4	2
LOC109498231	4	1	3
OLFM4	8	4	4
LOC102901843	6	2	4
LOC111556289	5	3	2
LOC102901884	2	1	1
LOC111559868	3	0	3
LOC102901923	0	0	0
LOC111556986	0	0	0
LOC109492563	5	2	3
LOC109498248	7	5	2
LOC109498249	4	3	1
LOC111556964	1	1	0
LOC111556987	0	0	0
LOC111556764	0	0	0
PCDH17	76	5	71
LOC111559874	9	4	5
LOC111559877	11	6	5
LOC111559879	1	0	1
LOC109498269	1	0	1
DIAPH3	45	9	36
LOC109498288	3	2	1
TDRD3	209	13	196
LOC111557080	0	0	0
LOC109492570	0	0	0
PCDH20	5	2	4
LOC109498314	0	1	0
LOC109492573	0	0	0
LOC111556957	0	0	0
LOC111556975	0	0	0
LOC111559890	4	3	1
LOC109498326	6	1	5
LOC111556747	0	0	0
LOC109492581	1	0	1
LOC111559810	1	1	0
PCDH9	41	7	34
LOC109498345	6	5	1
LOC109492584	1	0	1
LOC109492592	0	0	0
LOC111557037	0	0	0
LOC101100024	2	0	2
LOC111559836	1	1	0
KLHL1	7	4	3
LOC111556923	0	0	0
DACH1	26	12	14
LOC109492597	0	0	0
MZT1	183	7	177
BORA	92	12	81
DIS3	188	5	183
PIBF1	99	6	93
KLF5	42	6	36
LOC109498494	1	1	0
KLF12	325	13	312
LOC109498474	25	17	8
LOC109498477	12	7	5
LOC109498473	12	6	6
TBC1D4	456	13	445
UCHL3	64	4	62
COMMD6	32	0	32
LMO7	33	19	14
LOC109498550	4	2	2
LOC109498616	3	1	2
LOC109498606	1	0	1
LOC111556749	1	1	0
LOC111560078	4	0	4
LOC111559858	10	5	5
KCTD12	1800	9	1791
ACOD1	12	4	8
CLN5	279	8	271
FBXL3	297	10	287
LOC109498698	46	21	25
MYCBP2	2153	32	2121
SCEL	24	10	14
LOC109498704	2	2	0
SLAIN1	156	6	150
EDNRB	9	3	6
LOC109492603	1	0	1
LOC109498710	18	10	8
POU4F1	6	0	6
RNF219	106	2	104
LOC109498732	15	5	10
LOC109498727	1	0	1
LOC109498734	12	5	7
RBM26	593	8	585
NDFIP2	744	11	733
LOC109498753	8	5	3
LOC109498754	3	3	0
LOC109498764	3	3	0
LOC109498761	10	7	3
LOC109492605	0	0	0
LOC109498776	3	1	3
SPRY2	2	1	2
LOC111560110	4	2	2
LOC111556774	0	0	0
LOC109498777	2	2	0
LOC109492609	1	1	0
LOC109498787	5	5	0
LOC109498786	10	6	4
LOC111556984	0	0	0
LOC111556727	0	0	0
LOC111560115	7	0	7
SLITRK1	4	1	3
LOC111560117	0	0	0
LOC111556999	0	0	0
LOC111560056	0	0	0
SLITRK6	4	2	2
LOC111560120	3	1	2
LOC109498813	14	10	4
SLITRK5	13	5	8
LOC101093984	1	0	1
LOC111556882	1	0	1
LOC109498814	0	0	0
LOC111560123	1	1	0
LOC109492621	3	1	2
GPC5	11	3	8
LOC111556710	1	0	1
LOC111556930	2	1	1
GPC6	9	4	5
LOC109498840	20	7	13
DCT	11	3	8
TRNAF-GAA	0	0	0
TGDS	79	2	78
GPR180	85	7	79
LOC111560128	34	23	11
SOX21	1	0	1
LOC111556548	5	1	4
LOC109498853	0	0	0
LOC109498862	8	5	3
ABCC4	107	14	93
LOC111560130	1	0	1
CLDN10	5	3	2
DZIP1	11	4	7
DNAJC3	692	7	688
LOC109498873	14	17	0
UGGT2	19	7	12
HS6ST3	16	8	8
LOC109498887	8	3	5
OXGR1	5	5	0
LOC111556794	0	0	0
MBNL2	580	7	573
LOC111560143	35	26	9
RAP2A	388	6	382
IPO5	698	9	689
FARP1	76	63	13
LOC111560147	1	0	1
