N_unmapped	17030025	17030025	17030025
N_multimapping	2413049	2413049	2413049
N_noFeature	27525077	29953239	28624136
N_ambiguous	79940	2734	6264
LOC102899061	46	29	17
LOC101090826	81	45	36
TRNAE-UUC	7	5	2
CCDC115	116	19	99
IMP4	74	24	52
PTPN18	114	47	67
LOC111559468	129	53	76
LOC102899369	444	202	243
LOC109493243	22	17	6
ATP12A	249	151	98
RNF17	128	52	76
CENPJ	275	82	193
PARP4	270	135	135
MPHOSPH8	279	34	245
PSPC1	340	57	283
ZMYM5	96	34	62
LOC111559482	9	30	9
ZMYM2	165	39	156
LOC111558556	41	14	27
GJA3	62	29	33
GJB2	63	43	20
GJB6	34	17	17
LOC111556713	0	0	0
CRYL1	47	9	38
LOC109493944	10	7	3
IFT88	113	23	90
IL17D	14	6	8
LOC111558748	24	12	12
LOC109494068	30	15	15
EEF1AKMT1	50	34	16
XPO4	255	119	136
LATS2	165	77	88
LOC109494173	20	3	17
SAP18	135	48	87
LOC111559175	4	1	3
SKA3	89	24	79
MRPL57	51	16	49
ZDHHC20	129	49	82
LOC109494403	19	11	10
MICU2	136	14	122
LOC109494431	94	36	58
FGF9	89	22	67
LOC111556740	0	0	0
LOC109492527	13	4	9
LOC109492533	28	25	3
LOC109492531	12	12	0
LOC109492534	6	6	0
SGCG	44	19	25
SACS	513	85	428
TNFRSF19	102	57	45
MIPEP	91	37	54
LOC102900817	15	13	2
LOC111559532	3	3	0
C1QTNF9	96	70	26
SPATA13	358	93	266
LOC109494942	35	30	5
LOC109494916	118	58	61
LOC109494931	66	44	22
LOC109494958	47	30	17
LOC111559449	69	36	33
AMER2	27	7	20
LOC109495032	64	26	38
LOC109495042	48	21	27
MTMR6	132	43	89
NUP58	182	19	163
LOC111559502	17	5	12
LOC101085594	320	180	140
LOC109495412	32	19	13
LOC111559455	80	12	68
SHISA2	66	23	43
LOC101096779	171	88	83
RNF6	157	49	108
CDK8	113	13	100
LOC109495641	19	8	11
LOC109495885	41	11	30
WASF3	150	86	68
LOC111556724	1	0	1
LOC109495851	17	10	11
GPR12	35	18	17
USP12	162	69	93
LOC109496069	15	3	12
LOC111559476	1	16	7
LOC102901461	79	56	45
RPL21	287	5	282
LOC111557008	2	0	2
LOC111557034	32	0	32
RASL11A	20	4	16
LOC109496221	21	7	14
GTF3A	100	30	84
MTIF3	50	20	50
LOC111559484	7	3	10
LOC109496316	21	5	16
LNX2	182	69	114
POLR1D	27	9	18
LOC111559488	23	6	17
