N_unmapped	20349218	20349218	20349218
N_multimapping	2635706	2635706	2635706
N_noFeature	33421459	35473787	34714341
N_ambiguous	58799	3083	5042
LOC102899061	46	34	12
LOC101090826	102	58	44
TRNAE-UUC	5	1	4
CCDC115	116	31	88
IMP4	80	33	50
PTPN18	126	57	69
LOC111559468	138	61	77
LOC102899369	468	237	236
LOC109493243	22	15	12
ATP12A	253	175	78
RNF17	156	75	81
CENPJ	242	80	163
PARP4	286	143	144
MPHOSPH8	251	66	185
PSPC1	255	63	192
ZMYM5	115	48	67
LOC111559482	13	12	15
ZMYM2	154	58	110
LOC111558556	59	11	48
GJA3	50	23	27
GJB2	67	52	15
GJB6	57	31	26
LOC111556713	0	0	0
CRYL1	47	11	36
LOC109493944	14	13	1
IFT88	125	36	89
IL17D	8	6	4
LOC111558748	32	16	18
LOC109494068	39	13	26
EEF1AKMT1	53	37	16
XPO4	211	118	93
LATS2	138	71	67
LOC109494173	32	12	20
SAP18	136	50	86
LOC111559175	7	1	6
SKA3	96	32	72
MRPL57	30	11	27
ZDHHC20	144	66	81
LOC109494403	14	7	10
MICU2	95	27	68
LOC109494431	94	39	55
FGF9	104	51	53
LOC111556740	0	0	0
LOC109492527	12	1	11
LOC109492533	28	20	8
LOC109492531	10	9	1
LOC109492534	2	2	0
SGCG	77	23	54
SACS	427	101	326
TNFRSF19	135	80	55
MIPEP	105	41	64
LOC102900817	23	21	2
LOC111559532	3	3	0
C1QTNF9	95	59	36
SPATA13	374	116	258
LOC109494942	21	17	4
LOC109494916	113	57	56
LOC109494931	89	60	29
LOC109494958	49	21	28
LOC111559449	78	40	38
AMER2	21	6	15
LOC109495032	70	28	42
LOC109495042	66	26	40
MTMR6	120	53	67
NUP58	133	32	101
LOC111559502	31	9	22
LOC101085594	353	206	147
LOC109495412	41	24	17
LOC111559455	97	24	73
SHISA2	72	16	56
LOC101096779	251	125	126
RNF6	191	76	115
CDK8	88	17	71
LOC109495641	34	13	21
LOC109495885	59	19	40
WASF3	179	117	64
LOC111556724	4	4	0
LOC109495851	21	6	17
GPR12	53	24	29
USP12	116	48	68
LOC109496069	10	0	10
LOC111559476	1	24	12
LOC102901461	88	64	59
RPL21	154	3	151
LOC111557008	0	0	0
LOC111557034	7	0	7
RASL11A	23	10	13
LOC109496221	35	27	8
GTF3A	73	44	32
MTIF3	23	14	17
LOC111559484	12	0	17
LOC109496316	26	9	17
LNX2	176	73	103
POLR1D	19	5	14
LOC111559488	13	7	6
GSX1	19	10	9
PDX1	38	26	12
CDX2	47	26	21
URAD	11	0	11
FLT3	221	125	96
LOC109496442	48	17	31
LOC102901710	36	29	13
PAN3	214	75	145
FLT1	270	110	162
LOC102901737	29	22	9
LOC111559501	6	1	5
POMP	46	21	25
SLC46A3	57	35	22
MTUS2	194	80	118
LOC109496599	12	2	14
LOC109496695	23	21	2
SLC7A1	177	65	112
LOC109496642	129	81	48
LOC109496619	11	2	9
LOC109496645	52	23	29
LOC111559507	64	41	23
LOC109496768	67	38	29
LOC109496710	136	42	94
UBL3	88	29	59
LOC109496855	57	11	46
LOC111559546	29	5	24
KATNAL1	116	29	90
LOC102902205	71	57	17
LOC111559516	73	32	41
LOC109497259	76	22	54
HMGB1	1050	19	1031
LOC109497262	104	19	85
LOC109497264	134	78	56
USPL1	137	49	88
TRNAN-GUU	11	0	11
LOC111559523	79	19	60
ALOX5AP	106	34	72
LOC109497268	25	11	14
LOC102902594	50	14	36
LOC109492552	33	6	27
LOC109497270	24	12	12
MEDAG	47	4	43
LOC111559528	153	75	78
LOC109497286	21	12	9
TEX26	22	10	12
LOC111559529	32	15	17
LOC111559531	79	24	55
LOC109497276	67	39	28
LOC102900692	33	29	4
LOC102899076	41	30	11
HSPH1	197	38	168
LOC102899192	2	5	6
LOC109497283	14	3	11
LOC111559537	36	7	30
B3GLCT	138	76	63
LOC109497302	96	25	71
LOC109497301	124	96	28
LOC105260585	40	21	19
LOC109497305	6	5	1
RXFP2	143	65	78
FRY	627	395	232
LOC102901028	40	18	22
LOC109497331	17	10	7
LOC109497337	120	73	47
ZAR1L	62	14	55
BRCA2	258	88	187
N4BP2L1	32	13	29
N4BP2L2	112	28	84
PDS5B	352	61	291
LOC109497366	101	75	26
LOC109497357	34	25	9
KL	43	25	18
LOC109497379	8	1	7
LOC109497405	48	37	11
STARD13	294	92	202
LOC109497406	10	0	27
LOC111559553	46	56	7
LOC111559555	31	17	14
RFC3	107	16	91
LOC109497412	22	1	21
LOC109497409	13	2	11
LOC111559557	16	0	16
LOC109497407	49	23	26
LOC109497422	24	4	20
LOC109497423	26	14	12
LOC102901791	61	31	33
NBEA	298	151	150
LOC101083390	35	13	22
MAB21L1	35	11	24
LOC109492555	32	5	27
DCLK1	290	145	145
SOHLH2	57	29	28
LOC111559572	0	0	0
CCDC169	81	22	59
SPART	125	20	109
CCNA1	69	26	47
SERTM1	42	15	27
LOC109497469	122	71	51
RFXAP	45	29	16
SMAD9	115	34	81
ALG5	69	36	33
EXOSC8	65	24	42
SUPT20H	157	49	110
LOC111559720	15	9	7
POSTN	100	45	57
LOC109497540	14	9	7
TRPC4	251	139	112
LOC111557024	5	5	0
LOC109497541	15	11	4
LOC109492556	28	5	23
UFM1	85	22	63
FREM2	382	146	236
STOML3	75	46	29
LOC111557022	2	0	2
PROSER1	128	49	79
NHLRC3	142	22	120
LOC109492559	12	6	6
LOC111559741	17	13	4
LHFPL6	117	51	66
COG6	128	32	96
LOC109497583	90	62	28
LOC109497589	20	7	13
LOC109492560	25	15	10
LOC109497596	151	53	98
LOC109497598	43	22	21
LOC109497603	72	38	34
LOC109497600	18	3	15
FOXO1	197	100	97
MRPS31	180	67	119
SLC25A15	190	83	113
LOC101096867	125	41	84
THSD1	148	67	81
LOC111556783	0	0	0
VPS36	183	44	139
CKAP2	108	46	62
NEK3	99	58	41
NEK5	295	125	173
LOC109497673	3	4	0
ALG11	50	29	23
ATP7B	324	175	149
CCDC70	64	12	52
DHRS12	108	45	63
WDFY2	113	70	45
LOC102900676	97	57	42
LOC111556827	2	0	2
INTS6	184	96	88
SERPINE3	101	76	29
LOC109497734	74	40	38
LOC105260724	16	4	28
FAM124A	146	103	59
LOC109498200	83	28	55
LOC102900780	152	119	33
LOC101098598	67	28	39
LOC111559776	26	7	29
LOC111559777	87	41	56
RNASEH2B	165	34	131
TRNAK-CUU	12	8	4
DLEU7	101	70	31
LOC109497901	34	5	29
LOC111556929	0	0	0
LOC111556704	0	0	0
LOC102900852	90	44	46
LOC109497907	71	32	39
KCNRG	24	14	10
TRIM13	79	32	47
SPRYD7	84	19	65
LOC109497902	41	16	25
KPNA3	137	57	80
EBPL	24	10	14
RCBTB1	289	144	145
ARL11	80	41	39
LOC101100105	228	103	129
CAB39L	78	18	64
LOC109497890	39	9	30
CDADC1	156	36	125
LOC102901569	70	24	51
MLNR	13	9	4
FNDC3A	250	78	174
LOC105260363	32	30	4
CYSLTR2	170	88	82
LOC109497974	52	29	23
LOC111556256	34	10	24
RCBTB2	169	70	99
RB1	220	70	150
LPAR6	28	15	13
LOC111559794	24	2	22
ITM2B	169	32	137
LOC111556911	0	0	0
LOC109497981	89	15	74
MED4	111	28	83
NUDT15	47	32	15
SUCLA2	96	41	55
LOC109497998	122	62	60
HTR2A	61	29	32
LOC109498005	26	9	17
ESD	37	11	26
LRCH1	297	132	165
LOC111559803	31	18	17
RUBCNL	320	130	194
LRRC63	115	62	53
LCP1	2933	161	2772
LOC109498029	2	0	2
CPB2	66	15	51
ZC3H13	678	138	540
LOC109498060	36	12	24
LOC109498054	52	7	45
SIAH3	110	51	59
SPERT	36	6	30
LOC111559815	19	10	10
LOC111559816	17	7	11
ERICH6B	182	44	139
LOC109498055	17	12	6
COG3	241	83	158
SLC25A30	108	50	58
LOC109498076	15	11	4
LOC109498069	24	13	11
TPT1	1300	98	1202
LOC111557013	2	0	2
LOC111557014	9	2	7
LOC109498077	21	14	7
LOC111559737	32	14	18
GTF2F2	91	23	68
KCTD4	15	5	10
GPALPP1	269	133	138
NUFIP1	75	55	22
LOC101085341	0	0	0
TRNAE-UUC_1	10	6	4
LOC111559826	30	16	14
LOC109498105	21	7	14
TSC22D1	204	49	155
LOC109498118	81	46	35
SERP2	29	16	13
SMIM2	21	10	11
LOC109498125	43	18	25
LOC111559743	51	25	26
LOC102900805	91	24	67
LACC1	186	22	164
CCDC122	51	18	33
ENOX1	209	106	103
LOC109498151	44	26	18
DNAJC15	86	24	62
EPSTI1	126	25	101
LOC109498166	20	16	4
FAM216B	48	26	22
LOC109498172	61	27	34
LOC109498170	21	3	18
TNFSF11	40	22	18
AKAP11	311	99	218
LOC111559850	52	13	45
DGKH	427	246	181
VWA8	441	271	170
LOC109498198	86	36	50
RGCC	60	12	48
NAA16	146	28	133
MTRF1	90	65	40
LOC101088295	88	40	48
LOC101090830	63	13	50
WBP4	78	25	57
ELF1	283	82	205
TRNAE-UUC_2	3	3	0
LOC109498230	69	42	27
SUGT1	84	5	79
CNMD	44	25	19
LOC101091586	78	30	48
LOC109498231	46	10	36
OLFM4	164	31	133
LOC102901843	58	38	20
LOC111556289	58	27	31
LOC102901884	21	7	14
LOC111559868	55	20	35
LOC102901923	4	0	4
LOC111556986	0	0	0
LOC109492563	46	34	12
LOC109498248	25	8	17
LOC109498249	22	6	16
LOC111556964	6	0	6
LOC111556987	0	0	0
LOC111556764	0	0	0
PCDH17	228	82	146
LOC111559874	43	23	20
LOC111559877	101	67	34
LOC111559879	7	0	7
LOC109498269	8	2	6
DIAPH3	207	89	121
LOC109498288	10	12	1
TDRD3	126	63	63
LOC111557080	5	4	1
LOC109492570	23	2	21
PCDH20	77	28	55
LOC109498314	13	12	7
LOC109492573	31	28	3
LOC111556957	2	0	2
LOC111556975	8	2	6
LOC111559890	15	7	8
LOC109498326	48	18	30
LOC111556747	1	1	0
LOC109492581	8	7	1
LOC111559810	5	1	4
PCDH9	156	44	112
LOC109498345	97	70	27
LOC109492584	42	25	17
LOC109492592	7	7	0
LOC111557037	2	0	2
LOC101100024	22	11	11
LOC111559836	8	7	1
KLHL1	74	45	29
LOC111556923	3	3	0
DACH1	166	115	51
LOC109492597	12	11	1
MZT1	60	15	51
BORA	96	31	71
DIS3	132	27	105
PIBF1	40	7	33
KLF5	76	39	37
LOC109498494	20	9	11
KLF12	219	78	141
LOC109498474	98	41	57
LOC109498477	5	3	2
LOC109498473	99	57	42
TBC1D4	190	108	103
UCHL3	92	43	70
COMMD6	32	6	26
LMO7	317	139	178
LOC109498550	23	4	19
LOC109498616	29	18	11
LOC109498606	33	16	17
LOC111556749	11	10	1
LOC111560078	45	37	8
LOC111559858	51	33	18
KCTD12	81	37	44
