gene_id,moduleColor,GStraits1.num_LTR,p.GS.traits1.num_LTR,MM.darkorange,p.MMdarkorange,MM.black,p.MMblack,MM.bisque4,p.MMbisque4,MM.greenyellow,p.MMgreenyellow,MM.darkolivegreen,p.MMdarkolivegreen,MM.darkolivegreen4,p.MMdarkolivegreen4,MM.darkslateblue,p.MMdarkslateblue,MM.antiquewhite4,p.MMantiquewhite4,MM.thistle,p.MMthistle,MM.plum1,p.MMplum1,MM.plum3,p.MMplum3,MM.floralwhite,p.MMfloralwhite,MM.darkorange2,p.MMdarkorange2,MM.darkgrey,p.MMdarkgrey,MM.indianred4,p.MMindianred4,MM.salmon2,p.MMsalmon2,MM.skyblue,p.MMskyblue,MM.lavenderblush3,p.MMlavenderblush3,MM.darkviolet,p.MMdarkviolet,MM.thistle2,p.MMthistle2
CEP63,bisque4,-0.998493469909204,1.690626882211433e-7,-0.9714126795360598,2.613387187020034e-4,0.9309929867083168,0.0023144083221226398,0.9202396172515719,0.0033045173848718057,-0.7677420767004818,0.04386198537765755,-0.7018847194999291,0.07875587717116572,-0.630837995143731,0.12874350412315308,0.5843604625052674,0.1682689092934885,0.5065766660236932,0.24596601445417737,-0.5243743642219992,0.22695546240658449,-0.49577742006728515,0.25784567932234653,-0.37916512128975777,0.40156411898680255,0.34019571541069726,0.45529728860269536,-0.34426894076690623,0.44956092411611576,0.27565249675819,0.5496121652776906,-0.23215419167617032,0.6164169686761111,-0.12459615874158249,0.7901170085840227,-0.0393012515310257,0.9333316386232835,-0.013188923978333806,0.9776117345634084,0.025232972396742572,0.9571768114802226,-0.04403633601231203,0.9253140587311731
CRIM1,bisque4,-0.9981189066367927,2.9447058999580897e-7,-0.956913811063298,7.231032513326116e-4,0.924045644558877,0.002930429742816383,0.9199472780398451,0.003334343260416303,-0.7844245010211659,0.0367588135303148,-0.7051051237511679,0.07679333637655456,-0.5803302192819388,0.1719447557885603,0.5268287497910362,0.2243899865494294,0.5574185114814401,0.19358052627089115,-0.5228249629045119,0.22858204850328645,-0.547285424524114,0.20354550645404015,-0.4029941796939266,0.3700289875751074,0.3341425040903003,0.4638719375192951,-0.31862728065454354,0.48611610136541084,0.2914180433785987,0.5260101855646151,-0.30130282654301793,0.5113909462315511,-0.11991543229752205,0.7978857500283827,-0.07063516536298976,0.8803849399417599,-0.08429808165291297,0.8573990671276996,0.04751818889346844,0.9194216610775459,0.02858805023874138,0.951487248412676
JCAD,bisque4,-0.997916162761093,3.8030175851723893e-7,-0.9612615706961644,5.555664141876315e-4,0.9149552063964772,0.003868069896655563,0.9336139337295479,0.002103891942202435,-0.757975022858086,0.04834380838005589,-0.7302175814866086,0.06239526648069901,-0.6117637292387611,0.1443218607087993,0.5353702229905466,0.21556925779236086,0.5242025361359991,0.22713558130758357,-0.4943336028677282,0.25945340666145217,-0.5375731929076043,0.21332145387607707,-0.39996613499374517,0.3739781856562655,0.3697215717160709,0.41434526050381965,-0.29756665991450093,0.5169000245522719,0.25324259824415457,0.5837340754536195,-0.2934959053248901,0.5229254443522141,-0.12164410763706096,0.7950150417411503,-0.09007737297210681,0.8476995381143746,-0.04933883886287593,0.9163416980789603,0.017704201487888302,0.9699491241480616,0.01249062440576074,0.9787969115218478
GADD45G,bisque4,-0.9973645094270442,6.839023004616666e-7,-0.9582728595936177,6.679170062647559e-4,0.9315683726576903,0.002267180791957247,0.9075777035109368,0.004742932263679267,-0.7946033246624512,0.032764023698096154,-0.679688286527381,0.09300041644227514,-0.5873676488607009,0.16555170580600914,0.5557899700569628,0.1951657923498645,0.5554587741249988,0.19548895138280656,-0.5831137884984151,0.16940177351891605,-0.53075132226501065,0.22031841017786766,-0.36468705851633765,0.4212230739311865,0.30834095269737216,0.5010686997528984,-0.34522263840930434,0.4482217577417691,0.3096955045165541,0.4990905334122574,-0.21602331344714712,0.6417641816523869,-0.10198843105871641,0.8277581301127871,-0.03714560112935657,0.9369831651527408,-0.06517420914841898,0.8895916646170436,0.09100721887026858,0.8461403542979944,-0.0088834964445971,0.984919503108154
AMPD3,bisque4,-0.9972970501718291,7.284833812370792e-7,-0.9677906006883806,3.514593987576431e-4,0.9340167310070764,0.0020725811274271274,0.9107176045424971,0.004357862046654931,-0.7874402017838181,0.03554860012090068,-0.6889764115082974,0.08688730013873534,-0.5959773995564731,0.15789344662848648,0.5623890476087382,0.18878076980615882,0.5356900461273445,0.21524223158442504,-0.5198392872163874,0.23173181636061707,-0.5140955325780421,0.2378478829917007,-0.4054542822678035,0.3668331794046199,0.3178591733555173,0.4872270864551955,-0.34631106628558234,0.4466952394752333,0.3018833054497038,0.5105368418821413,-0.28762359237616275,0.5316591208779871,-0.16418459115343173,0.7250131240288729,-0.03394431391339488,0.9424075358184135,-0.054976722904727236,0.9068095967655754,0.02078165163384687,0.9647275902699668,-0.01888995315792613,0.9679371407363389
PEX5,bisque4,-0.9966884383692098,1.2099433833798085e-6,-0.9674542133199185,3.60642076299733e-4,0.9116969548303315,0.004241632690081359,0.9413874059204496,0.0015475916668574736,-0.7350468522507201,0.059810305239896715,-0.7446962383214277,0.05482251193301597,-0.6488019410191999,0.11490098295924213,0.5605272794783019,0.19057173181779896,0.4864803103614212,0.2682779076485155,-0.47350650256918514,0.28314790676394724,-0.5107116464428285,0.24148582986297745,-0.3670142020344073,0.41803840790613855,0.3939259933545978,0.38190680848721237,-0.2963293311224532,0.5187289622490878,0.22390867522999827,0.6293373903643213,-0.2686380366485731,0.5602220966926301,-0.1089780861624175,0.8160896869655027,-0.09174962412691268,0.8448957609442946,-0.0034829326188656144,0.9940872258075673,-0.007394181449797978,0.9874475908541622,-0.019211858006287684,0.9673909555811429
TSPAN3,bisque4,-0.9964435109747487,1.446037564325184e-6,-0.968249507044136,3.39158514789579e-4,0.9253212590206591,0.00281090829239271,0.9229275853787675,0.003037595425463368,-0.7569993176542379,0.0488047095836851,-0.7074509010247959,0.07538042472661155,-0.6449878623831709,0.11777237787557783,0.5903415265651392,0.16288613012991685,0.49677522339113084,0.2567372704146755,-0.5427981326657868,0.20803502626279793,-0.4928677848082254,0.26109029943635276,-0.3260597520810819,0.4754129916570952,0.3515140989241117,0.439425168907201,-0.33768373458712614,0.45884843002600695,0.26012421265243285,0.5731868994108076,-0.18769721122341917,0.6869384948375823,-0.08569684178925933,0.8550501454967416,-0.046309698562558746,0.9214664882421768,0.0039716056877850394,0.9932576459523552,0.04619853803166646,0.921654594936334,-0.05251903409027855,0.9109638291737836
FBLN7,bisque4,-0.9964142870679671,1.4759032160348367e-6,-0.9661807914235541,3.9668739277728417e-4,0.9301443098017068,0.002385113975074508,0.918117232890596,0.0035246294739075396,-0.7757996444526879,0.04034455981632376,-0.7039078648516232,0.0775198718571391,-0.6029863910878707,0.15179239381640428,0.555713542235721,0.19524034264438136,0.5279779445706998,0.22319349672974312,-0.48460007982189823,0.27041052809121324,-0.5104021283490767,0.24181986630802169,-0.39837053012970686,0.37606607869397973,0.33571353048248664,0.46164082252096617,-0.3394322051219741,0.45637556468154,0.28661427226750663,0.5331651430491329,-0.3184638727015475,0.4863523775694775,-0.14001166900678683,0.7646317036738591,-0.050887697061724774,0.9137221743617295,-0.051795686989995995,0.9121868137531947,0.0012330745473717645,0.9979066692243337,-0.0035740962235716084,0.9939324645559658
SERPINI1,bisque4,-0.9961037885091275,1.816155625246211e-6,-0.9582611107611243,6.683829903245015e-4,0.9285576753621008,0.002520666322724405,0.9100559965826616,0.004437421180777967,-0.7863335421586196,0.035990093223278764,-0.6856529580007185,0.08904948938019865,-0.6002692858129439,0.15414327638304914,0.5629521827381437,0.18824066801279316,0.5454793764910071,0.20534681536814692,-0.5887887684266082,0.16427523943981992,-0.5255987357137937,0.2256739586757431,-0.31110117926703823,0.4970406175266976,0.3182504311935431,0.4866610605438042,-0.3412676472962647,0.4537850438006416,0.2967241401199956,0.5181451415367452,-0.1941954262571877,0.6765046366017613,-0.08070989608544993,0.8634284600468478,-0.04088172300643239,0.9306550140598605,-0.05031130107627217,0.9146969389721851,0.09614123181739884,0.8375388353139892,-0.01839743203088755,0.9687728346408331
HIBADH,bisque4,-0.9959592428974702,1.989161020543403e-6,-0.9481030252900515,0.0011458468415505706,0.9079958795793034,0.0046905489840652894,0.9272372133209381,0.0026368460071168392,-0.7677380848934156,0.04386376819732854,-0.7179130447781661,0.06924945275853105,-0.5933077183552139,0.1602488225877025,0.519429909496029,0.23216526674212265,0.5517069904415883,0.1991676899928287,-0.5743185376529834,0.17750041604869982,-0.5673952609482557,0.18400570645226103,-0.35709646560822067,0.4316755335621027,0.3568399266864049,0.432030514718975,-0.2858186894795493,0.5343532487486757,0.2625200043357082,0.5695291052542732,-0.21405453545574782,0.6448773518197074,-0.07527517188178429,0.8725706459417868,-0.09604912112442292,0.8376930463163973,-0.06979199664422611,0.8818057754005788,0.09962726314308708,0.8317056239744381,0.02535870090272576,0.9569635729738901
