gene_id,moduleColor,GStraits1.num_LTR,p.GS.traits1.num_LTR,MM.darkorange,p.MMdarkorange,MM.black,p.MMblack,MM.bisque4,p.MMbisque4,MM.greenyellow,p.MMgreenyellow,MM.darkolivegreen,p.MMdarkolivegreen,MM.darkolivegreen4,p.MMdarkolivegreen4,MM.darkslateblue,p.MMdarkslateblue,MM.antiquewhite4,p.MMantiquewhite4,MM.thistle,p.MMthistle,MM.plum1,p.MMplum1,MM.plum3,p.MMplum3,MM.floralwhite,p.MMfloralwhite,MM.darkorange2,p.MMdarkorange2,MM.darkgrey,p.MMdarkgrey,MM.indianred4,p.MMindianred4,MM.salmon2,p.MMsalmon2,MM.skyblue,p.MMskyblue,MM.lavenderblush3,p.MMlavenderblush3,MM.darkviolet,p.MMdarkviolet,MM.thistle2,p.MMthistle2
VASH2,darkorange,0.9995225299870012,9.56550707655156e-9,0.9684989314713583,3.3258175488176444e-4,-0.9279704848595798,0.002571950496114085,-0.9237048969983208,0.0029628514461918225,0.7712758460802699,0.042299384634829136,0.7095345215110942,0.07413716661762013,0.6151462757253504,0.1414935468160875,-0.5618262101378164,0.18932133657397962,-0.5220024215219561,0.22944778036889774,0.5115575724405326,0.24057398729982252,0.516003690406888,0.23580779346719816,0.39082807237045386,0.3859994644276476,-0.3448169454951923,0.4487912417676923,0.32950597959635874,0.47047958264799444,-0.27578006866279375,0.5494198126494639,0.2728192904003518,0.5538897105081302,0.13436320622597353,0.7739513657406276,0.05565007153544263,0.9056717268272652,0.0381813789170588,0.9352285145936283,-0.01999227723431482,0.966066838388877,0.01650910914458554,0.9719770850483279
YPEL2,darkorange,0.9992865566696589,2.610276644010832e-8,0.9663566535820882,3.9158780494477456e-4,-0.9237955881065386,0.0029542018803297722,-0.9274126933573924,0.002621229387649016,0.763201559941831,0.04591569481693764,0.7149188469241251,0.07097563214350408,0.6281373226622253,0.13089430982783992,-0.5673103176341785,0.18408623114194894,-0.5154132051867816,0.23643823050149856,0.5351203424424119,0.21582493008724155,0.5162035934467856,0.2355945429375295,0.3445249867217229,0.44920124146594037,-0.35495589120261256,0.43464093415693766,0.32312852717305673,0.47962383435972333,-0.2625853048056355,0.5694295106212628,0.2257201908987538,0.6264922432160767,0.0963548027007386,0.837181292525691,0.0625675049941831,0.8939898876372084,0.023435494051784272,0.9602255942272917,-0.045072725477383745,0.9235598659462935,0.02379089963531957,0.9596227435396355
TMEM98,darkorange,0.9982282322932561,2.5354698710084956e-7,0.9577339814083452,6.894886110582827e-4,-0.913113738562494,0.004076724843765277,-0.9327004055861752,0.002175928971025981,0.7587865192676679,0.047962301725653744,0.7261088607353594,0.06464119118468717,0.6178046042568198,0.13929061677881904,-0.5418477322736106,0.20899190548385543,-0.5283054407711247,0.22285307446122146,0.5475073476721694,0.20332469029525876,0.5433840868531659,0.20744612258260672,0.33509193374907204,0.4625231174357905,-0.3679471066945481,0.41676438106498787,0.29608901570504187,0.5190844368085679,-0.25091616507554554,0.5873131455035686,0.22165447913426273,0.6328828964345163,0.07705857675634199,0.8695693532026658,0.08923102498648797,0.8491190545209473,0.041325183284466487,0.929904079604003,-0.06788563711612575,0.8850191332230826,-0.0029110033277751596,0.9950581482028356
ROBO1,darkorange,0.9981827917918356,2.701112333029072e-7,0.9522251514639717,9.337817646841123e-4,-0.925391668252138,0.0028043960058795627,-0.9158095572241529,0.003773432987718227,0.7923695764070231,0.03361880215944072,0.6962457109179016,0.08225593419543592,0.5756191209485217,0.17629113826622916,-0.5279410564892051,0.22323185610986168,-0.5714706096562476,0.18016254801249035,0.5677394335518379,0.1836796129238954,0.5540401614125275,0.19687605821559975,0.3383021430489026,0.45797324692509545,-0.3237998384916129,0.47865827877467815,0.32443119811461474,0.477750827815541,-0.2999786750683183,0.5133411183778385,0.2547363466347851,0.5814395945098954,0.07440909899119516,0.8740286007128348,0.0664725077831317,0.8874019136801286,0.08998386913960503,0.8478563490989136,-0.0945023811967239,0.8402832002613875,-0.030460353899363503,0.9483128834571137
NCALD,darkorange,0.9969055862862164,1.0213614527128106e-6,0.9800244912135834,1.0716059041925923e-4,-0.9308723847059361,0.0023243798787622224,-0.923976811732968,0.002936962251637696,0.7501252319659789,0.05211989817003075,0.7103921431154053,0.07362865119859875,0.6609841031406469,0.1059750172213204,-0.6099962727538775,0.14581093919418392,-0.47010690546260453,0.2871037695798394,0.4899851813813256,0.2643230093586139,0.46559881705544515,0.2923871471191585,0.3790574528681974,0.4017089484155189,-0.35562169262310905,0.43371774828467774,0.3490879496912325,0.44280955749228007,-0.2557851194729668,0.5798302926187011,0.23350240763673047,0.6143117317704975,0.14597981427382514,0.7548090756853857,0.0318575431557315,0.9459443953533041,-0.026911715086648007,0.9543297958099168,0.018754194844877108,0.9681674887436008,0.07819075006945146,0.8676646623072464
TRIO,darkorange,0.9959771096436402,1.967264389035362e-6,0.944800185565561,0.001334543669885863,-0.9120673660447803,0.0041981495800517766,-0.9209525173979766,0.0032324405918085063,0.7843532194236167,0.03678769154468508,0.7086798637616772,0.07464578788800848,0.5658542532671533,0.18546922147154973,-0.5016169026026811,0.2513899896771539,-0.5776227515528668,0.1744361065071338,0.5694359363032779,0.1820763479234342,0.5809862461201745,0.17134374870179334,0.3666997213303806,0.4184682215630277,-0.33941114747445456,0.4564053170243535,0.29118031498173447,0.5263635026425282,-0.28459150907222897,0.5361876232948957,0.2600305928342006,0.5733299836898889,0.08762788594362117,0.8518087664021962,0.09336202232858415,0.8421935680322654,0.1047496962474763,0.8231453968417468,-0.10061638155844091,0.8300516303189422,-0.051275679935064024,0.91306609051039
ACTL6A,darkorange,0.9956295214767172,2.419684438186593e-6,0.9722467860641693,2.4280033689206656e-4,-0.9402623251208566,0.0016219320822162086,-0.9025079491110886,0.005405166719513192,0.7905639566442699,0.03431872719078882,0.6742725738722866,0.09666596738727468,0.5999377369888301,0.1544313741198277,-0.5812099229861275,0.17113906811172147,-0.5242019577163234,0.22713618774974823,0.5118621183993927,0.24024610248359637,0.49182057054481565,0.2622626079019408,0.4488974948952495,0.3123300262756837,-0.30240189495162384,0.5097742179770218,0.3676488896758404,0.417171478176047,-0.31444743887318133,0.49217271281013586,0.28575278818766525,0.53445170390515,0.19430472933323278,0.6763294807849503,0.00904987357216421,0.9846370865883866,0.04136333655562931,0.9298394746024821,-0.002462719136526618,0.9958191708220923,0.04302561224715692,0.9270250415928818
CC1H1orf52,darkorange,0.9955730381060136,2.498547173751794e-6,0.9711934994326823,2.6634521067805836e-4,-0.9244264419580338,0.002894444488181004,-0.9243110760713071,0.002905319020150435,0.7506050558018426,0.051884620070232035,0.7116694426661966,0.07287476514993027,0.6555515551479261,0.1099092728318084,-0.598506386920231,0.15567822211282792,-0.484555123362671,0.2704616127199088,0.5330707572499874,0.2179274423696051,0.4843878195690747,0.2706517605971074,0.3081382699934229,0.5013649304220276,-0.3582701598567479,0.43005288194752417,0.3365620195719777,0.4604374810657712,-0.25126699520073215,0.5867729854683368,0.1880614915473975,0.6863525268490202,0.09390538226539329,0.8412832358348975,0.04505032785994417,0.9235977735693631,-0.01741412682018992,0.9704413424613074,-0.03168296415712747,0.946240321260376,0.06487942978937895,0.8900889268402397
TGIF1,darkorange,0.9955179897004646,2.576869307839385e-6,0.9705885321376135,2.804582511395668e-4,-0.9132503342839756,0.004061027187685304,-0.9363494905587286,0.0018966477373505999,0.7366812728793669,0.05894886023622368,0.7363700082267828,0.05911239421319876,0.6489878146447006,0.11476198391127519,-0.5688198601127321,0.18265777244356318,-0.4792268637440566,0.27654700995975895,0.4713829880043194,0.2856160156422981,0.5030340281613799,0.2498346642885475,0.4113312863840286,0.35924497657679755,-0.3854956800660667,0.3930851915686872,0.30167787320107725,0.5108390541134649,-0.22983391847180992,0.6200449593974575,0.2676427832558193,0.5617327859235024,0.15052930258593966,0.7473388748133702,0.07812515336872142,0.8677750038896224,-0.0030771160799572734,0.9947761502291446,0.021955885617800073,0.9627355143139197,0.03659363064350122,0.9379183092637184
EPHB2,darkorange,0.9953734277390085,2.789490943039967e-6,0.9779184802048374,1.375211057303737e-4,-0.9212362474474837,0.0032040130530933825,-0.9320000011520791,0.0022321278162674295,0.7324402878443239,0.061198162816229154,0.7257214264399031,0.06485518619102612,0.6787397605132739,0.09363703636971608,-0.6106019357711703,0.1452998027690427,-0.4540996074572392,0.3060563976559084,0.49281931591718015,0.2611445053054525,0.4669807720592488,0.29076298027289676,0.35297979625229475,0.43738535168552356,-0.3789148251667343,0.4019008349632013,0.3299460086647978,0.4698510150125847,-0.22922791829528105,0.6209935167408527,0.20288848690972275,0.6626109173217426,0.12386722539521358,0.7913259471107748,0.049581237154665884,0.9159316990428138,-0.0464306587215276,0.9212618018507526,0.013479843952787108,0.9771179851973866,0.0839159506848742,0.8580409213651172
COQ8B,darkorange,0.9951852138851562,3.081592581724564e-6,0.9774039559591542,1.456321821077687e-4,-0.9547265702230516,8.174231615231964e-4,-0.8894324607865957,0.007350236245885761,0.8034498931481534,0.029498920441557764,0.6496650440901596,0.11425627668803927,0.6104853311540154,0.14539813854675374,-0.6182425088385902,0.1389294061931218,-0.5208836877830406,0.23062771927384815,0.547065209770968,0.20376473630763658,0.46062718632243077,0.2982632259328349,0.35141960454821103,0.4395568008166262,-0.27459381585206716,0.5512092884606918,0.4101631379343159,0.36074802541106116,-0.33664570944325434,0.4603188536063798,0.23609521881307777,0.6102689794126657,0.1602253094048856,0.731471081476391,-0.03148810720746357,0.9465706257830067,0.021130928116634924,0.9641350306682818,-0.026259655308265527,0.9554355934105483,0.0790579222282299,0.8662061349878566
