Orthogroup	Felis_catus	Puma_concolor
OG0000000	XP_023109887.1	XP_025781343.1
OG0000000	XP_023109886.1	XP_025781341.1, XP_025781342.1
OG0000000	XP_023109885.1	XP_025781340.1
OG0000000	XP_023109881.1	XP_025781331.1
OG0000000	XP_023109880.1	XP_025781327.1, XP_025781329.1, XP_025781330.1
OG0000000	XP_019686407.1	XP_025781323.1
OG0000000	XP_023109878.1	XP_025781322.1
OG0000000	XP_023109877.1	XP_025781313.1
OG0000000	XP_023109876.1	XP_025781312.1
OG0000000	XP_023109882.1	XP_025781337.1
OG0000000	XP_023109883.1	XP_025781338.1
OG0000000	XP_023109879.1	XP_025781332.1
OG0000002	XP_019682732.1	XP_025787733.1
OG0000002	XP_019682731.1	XP_025787732.1
OG0000002	XP_019682738.1	XP_025787741.1
OG0000002	XP_019682748.1	XP_025787742.1
OG0000002	XP_019682741.1	XP_025787745.1
OG0000002	XP_019682740.1	XP_025787744.1
OG0000002	XP_003984032.1	XP_025787740.1
OG0000002	XP_019682733.1	XP_025787735.1
OG0000002	XP_019682747.1	XP_025787738.1
OG0000002	XP_019682723.1	XP_025787727.1
OG0000002	XP_011279323.1	XP_025787730.1
OG0000002	XP_019682730.1	XP_025787731.1
OG0000002	XP_011279325.1	XP_025787734.1
OG0000002	XP_019682735.1	XP_025787737.1
OG0000002	XP_011279326.1	XP_025787736.1
OG0000003	XP_003985774.1	XP_025772815.1
OG0000003	XP_006935131.1	XP_025772816.1, XP_025787489.1
OG0000003	XP_023105366.1, XP_023105365.1	XP_025772807.1
OG0000003	XP_023110467.1	XP_025772808.1
OG0000003	XP_023109342.1	XP_025772812.1, XP_025772814.1
OG0000003	XP_003985765.1, XP_003985756.1, XP_003985755.1, XP_003985739.1, XP_003985731.1, XP_006931454.1	XP_025772802.1
OG0000003	XP_003985769.1	XP_025772825.1
OG0000003	XP_003985766.1, XP_006931455.1	XP_025772813.1
OG0000003	XP_019685720.1	XP_025776015.1
OG0000004	XP_023103958.1, XP_023103962.1, XP_023103936.1, XP_023103934.1, XP_023103951.1, XP_023103956.1, XP_023103942.1, XP_023103944.1, XP_023103950.1, XP_023103939.1, XP_023103948.1, XP_023103945.1, XP_023103943.1, XP_023103953.1, XP_023103960.1, XP_023103947.1, XP_023103955.1, XP_023103952.1, XP_023103935.1, XP_023103937.1, XP_023103940.1, XP_023103938.1, XP_023103959.1, XP_023103964.1, XP_023103949.1, XP_023103946.1, XP_023103954.1, XP_023103963.1, XP_023103961.1	XP_025778725.1
OG0000005	XP_019686416.1	XP_025781353.1
OG0000005	XP_023109893.1	XP_025781357.1
OG0000005	XP_023109892.1	XP_025781356.1
OG0000005	XP_023109896.1	XP_025781360.1
OG0000005	XP_023109895.1	XP_025781359.1, XP_025781352.1
OG0000005	XP_023109899.1	XP_025781362.1
OG0000005	XP_023109889.1	XP_025781346.1
OG0000005	XP_023109888.1	XP_025781344.1
OG0000005	XP_023109890.1	XP_025781350.1
OG0000005	XP_023109894.1	XP_025781355.1
OG0000005	XP_019686417.1	XP_025781354.1
OG0000006	XP_023113214.1, XP_023113202.1, XP_023113199.1, XP_023113195.1, XP_019691048.1, XP_019691044.1, XP_019691046.1, XP_019691047.2, XP_019691045.1, XP_023113212.1, XP_023113211.1, XP_023113207.1, XP_023113210.1, XP_023113208.1, XP_019691043.1, XP_023113201.1, XP_023113194.1, XP_023113206.1, XP_023113205.1, XP_023113197.1, XP_023113196.1, XP_023113204.1, XP_023113198.1, XP_023113200.1, XP_023113213.1, XP_023113203.1	XP_025782238.1
OG0000007	XP_011286802.1, XP_023098329.1, XP_003995800.1, XP_019671876.1, XP_019671875.1, XP_006939426.1, XP_019671873.1	XP_025786307.1, XP_025786371.1, XP_025786036.1, XP_025786808.1, XP_025786914.1, XP_025786751.1, XP_025786844.1, XP_025786241.1, XP_025787032.1, XP_025786188.1, XP_025786644.1, XP_025786694.1, XP_025786558.1, XP_025785947.1, XP_025787115.1, XP_025786959.1, XP_025786485.1, XP_025786443.1, XP_025786114.1
OG0000008	XP_019667925.1, XP_019667927.1, XP_011285156.1, XP_019667928.1, XP_019667941.1, XP_019667940.1, XP_019667939.1, XP_019667938.1, XP_019667943.1, XP_011285158.1, XP_019667942.1, XP_019667923.1, XP_019667924.1, XP_019667926.1, XP_019667934.1, XP_019667932.1, XP_006937332.1, XP_006937331.1, XP_019667931.1, XP_019667929.1, XP_019667922.1, XP_019667930.1, XP_019667935.1, XP_019667937.1, XP_019667933.1	XP_025784012.1
OG0000009	XP_003985754.1	XP_025772824.1
OG0000009	XP_003985775.1	XP_025772799.1
OG0000009	XP_006927522.1	XP_025775916.1
OG0000009	XP_003985768.1	XP_025772794.1
OG0000009	XP_003985744.1	XP_025772801.1
OG0000009	XP_003985787.1	XP_025772837.1
OG0000009	XP_003988491.1	XP_025791100.1, XP_025786497.1
OG0000009	XP_011280386.1, XP_003985748.1	XP_025772797.1
OG0000009	XP_011280368.1, XP_011280365.1, XP_011280380.1, XP_003985740.1	XP_025772795.1, XP_025772796.1
OG0000010	XP_023111817.1	XP_025779682.1
OG0000010	XP_019688916.2	XP_025779683.1
OG0000010	XP_011280894.1, XP_023111803.1, XP_023111791.1, XP_023111780.1, XP_023111811.1, XP_023111784.1, XP_011280889.2, XP_023111759.1, XP_023111762.1, XP_019688942.2, XP_023111812.1	XP_025779681.1, XP_025779692.1, XP_025779685.1, XP_025779684.1, XP_025779693.1, XP_025779694.1, XP_025779686.1, XP_025779688.1, XP_025779691.1, XP_025779690.1
